sezon,match_id,kolejka,gospodarz,gosc,wynik_1x2,p_home_raw,p_draw_raw,p_away_raw,lambda_home,lambda_away,use_hybrid,ll,ll_baseline
2025/26,2387,5,GKS Katowice,Arka Gdynia,H,0.5923540858982603,0.25801265825133024,0.14963325585040943,1.5160970448025626,0.6143734737486326,1,0.4557362554776395,0.4780627078003896
2025/26,2388,5,Lech Poznań,Korona Kielce,D,0.4959962804858793,0.26584966973967766,0.23815404977444302,1.4558295176827858,0.9197807581673665,1,1.3673893413448286,1.4159609276045653
2025/26,2389,6,Wisła Płock,Zagłębie Lubin,H,0.7093458589152333,0.1957725354600288,0.09488160562473799,1.959644818217809,0.5531511637533479,1,0.2820474746874386,0.31482830598738976
2025/26,2390,6,Legia Warszawa,Jagiellonia Białystok,D,0.4888647905573499,0.23184857926200947,0.2792866301806406,1.7848181867081765,1.298038744990401,1,1.5168162894361499,1.5160308642519669
2025/26,2391,6,Lechia Gdańsk,Arka Gdynia,H,0.663584528921052,0.20894514565373898,0.12747032542520925,1.9180839482843342,0.6968242428922216,1,0.3437103992432062,0.36442124520174085
2025/26,2392,6,Górnik Zabrze,GKS Katowice,H,0.47572352369577464,0.251578914400708,0.27269756190351746,1.5649117781600215,1.1217287758267915,1,0.674264878186375,0.680657325435691
2025/26,2393,6,Radomiak Radom,Bruk-Bet Termalica Nieciecza,D,0.40974135904612113,0.24754986948502433,0.3427087714688546,1.51923069703445,1.369238951414577,1,1.4323226703832619,1.3984532582507008
2025/26,2394,6,Korona Kielce,Motor Lublin,H,0.4505313895573574,0.25755201909348596,0.29191659134915676,1.4868178379647776,1.1448207915786581,1,0.730958801405181,0.8130135617067246
2025/26,2395,6,Raków Częstochowa,Lech Poznań,D,0.42243734532374594,0.28323286483725585,0.29432978983899816,1.2614587057768425,1.0030541320789101,1,1.2852884271340275,1.2715919280937547
2025/26,2396,6,Piast Gliwice,Cracovia,D,0.42136733366211276,0.2838126017309363,0.2948200646069507,1.2563559564356916,1.0014397859796254,1,1.2828815937167959,1.243720884308708
2025/26,2397,6,Widzew Łódź,Pogoń Szczecin,A,0.3013906336246943,0.2616057334042966,0.43700363297100897,1.146744823050823,1.436384921373011,1,0.8418504913467468,0.8393511393834574
2025/26,2398,7,Arka Gdynia,Wisła Płock,H,0.05001529441725808,0.18590027544899604,0.7640844301337459,0.2936501609444073,1.879215100936675,1,3.1835501825692596,3.0364931428752278
2025/26,2399,7,Bruk-Bet Termalica Nieciecza,Korona Kielce,A,0.4334818558354702,0.2603103462923453,0.3062077978721846,1.4424286078235924,1.1693983269963564,1,1.2515821185563272,1.290550184260763
2025/26,2400,7,Zagłębie Lubin,Piast Gliwice,D,0.34334798373145636,0.2920598676688283,0.3645921485997152,1.073733465666112,1.1158538377740759,1,1.2417488163601176,1.2210607740144253
2025/26,2401,7,Górnik Zabrze,Motor Lublin,A,0.47223845853144697,0.24650679808008644,0.2812547433884666,1.611126687260262,1.187052002664689,1,1.3518643616067723,1.3409579242202394
2025/26,2402,7,Pogoń Szczecin,Raków Częstochowa,H,0.39085497470454755,0.2747119107652833,0.3344331145301692,1.2681824547323128,1.15139475223923,1,0.8814366350139686,0.8560839692444918
2025/26,2403,7,Cracovia,Legia Warszawa,H,0.3327074619946281,0.2551004018646702,0.41219213614070155,1.2811039861005318,1.4547930850756636,1,1.0547186037558662,1.0302554912716888
2025/26,2404,7,GKS Katowice,Radomiak Radom,H,0.3950999201954822,0.2506296724611902,0.35427040734332754,1.4636258341181307,1.3730491250383823,1,0.8693584700043654,0.8467554226259003
2025/26,2405,7,Lech Poznań,Widzew Łódź,H,0.5253573527385316,0.2533594224691398,0.2212832247923287,1.5713680168708095,0.9223063923270682,1,0.5732688026844313,0.5796211504442409
2025/26,2406,7,Jagiellonia Białystok,Lechia Gdańsk,H,0.6050782845813958,0.20038199413633806,0.1945397212822661,2.1818466049181025,1.1639264883308278,1,0.4304110576292894,0.4049625013205307
2025/26,2407,8,Wisła Płock,Cracovia,D,0.6441688209727643,0.23135728657812457,0.12447389244911097,1.699590146548181,0.5892912302252453,1,1.5546591434194326,1.4917948205189138
2025/26,2408,8,Legia Warszawa,Radomiak Radom,H,0.5807465221165873,0.22133900527825023,0.19791447260516276,1.8998116372498017,1.0135848565919143,1,0.47166324001062904,0.4971061290681821
2025/26,2409,8,Lechia Gdańsk,GKS Katowice,H,0.39836250473503343,0.23753904794924724,0.3640984473157193,1.59863262566258,1.5193449934477603,1,0.8604609617405014,0.887393160588223
2025/26,2410,8,Motor Lublin,Bruk-Bet Termalica Nieciecza,D,0.5020776513727555,0.22304564338799857,0.27487670523924607,1.904666873981807,1.3620045831778254,1,1.561981938051053,1.525023551206726
2025/26,2411,8,Korona Kielce,Pogoń Szczecin,H,0.35223774324537765,0.26997381121089103,0.37778844554373125,1.2228364858141922,1.2764439532229261,1,0.992965589939877,1.0874265336493292
2025/26,2412,8,Lech Poznań,Zagłębie Lubin,A,0.5257136421429329,0.2429284499434687,0.23135790791359823,1.672118779334708,1.02267742270615,1,1.579149679032429,1.6460682559769582
2025/26,2413,8,Raków Częstochowa,Górnik Zabrze,A,0.49701798815936865,0.27422212784817174,0.22875988399245972,1.3937258544558437,0.8490707851758754,1,1.5880849645964348,1.417194968201593
2025/26,2414,8,Piast Gliwice,Jagiellonia Białystok,D,0.3839464170331163,0.27312298870070423,0.3429305942661796,1.266470102509683,1.1811725075364559,1,1.3202327264094733,1.3363611301589542
2025/26,2415,8,Widzew Łódź,Arka Gdynia,H,0.6097987654071443,0.2606797598153607,0.12952147477749504,1.4847037440737005,0.5238596931075892,1,0.4284746458341391,0.4356360123640129
2025/26,2416,9,Arka Gdynia,Korona Kielce,D,0.16331242667961676,0.2648011797980849,0.5718863935222982,0.6472690281584877,1.4726389710811183,1,1.3467010170880134,1.3326365225321737
2025/26,2417,9,Bruk-Bet Termalica Nieciecza,Lech Poznań,A,0.3263334659981152,0.24305193333328198,0.4306146006686028,1.361505998047235,1.59768152335247,1,0.8600199375132408,0.7963608284291234
2025/26,2418,9,Zagłębie Lubin,Motor Lublin,D,0.432725885992129,0.24806892658009075,0.31920518742778026,1.5508398103164829,1.2979599251039018,1,1.4330955798968332,1.4091309620727217
2025/26,2419,9,Górnik Zabrze,Widzew Łódź,H,0.4607538240197563,0.2716347411161749,0.26761143486406896,1.3851781793620894,0.9862342351996738,1,0.7083313757415722,0.7388590110445419
2025/26,2420,9,Radomiak Radom,Piast Gliwice,H,0.3809914786784705,0.28277442654264,0.33623409477888966,1.1990953329910259,1.1083371399905653,1,0.9089780271971032,0.9168565856192132
2025/26,2421,9,Pogoń Szczecin,Lechia Gdańsk,A,0.5919169902270127,0.2077274847316748,0.2003555250413125,2.0824240880151854,1.132695231416181,1,1.7518147820556913,1.6735528569570841
2025/26,2422,9,GKS Katowice,Cracovia,A,0.3687186457291668,0.2597614019134436,0.37151995235738977,1.3328490105939714,1.338899282350676,1,1.0280887084510308,0.9996543459978618
2025/26,2423,9,Raków Częstochowa,Legia Warszawa,D,0.3934503499450152,0.27401343415346735,0.3325362159015174,1.2774358066891676,1.151135102922051,1,1.3177925122784977,1.3228935240320918
2025/26,2424,9,Wisła Płock,Jagiellonia Białystok,A,0.5838280709378262,0.2585232255987271,0.15764870346344695,1.5165183695608848,0.6455952377526969,1,2.021018833428879,1.7899122621595263
2025/26,2425,10,Wisła Płock,GKS Katowice,D,0.6347698427184008,0.22782638464889116,0.13740377263270806,1.7509224286404,0.6676249766197242,1,1.5687150531166667,1.494354550494603
2025/26,2426,10,Legia Warszawa,Pogoń Szczecin,H,0.5084176907949509,0.23053143224618755,0.26105087695886176,1.8092737928577736,1.2358305875599052,1,0.6052007979109828,0.6858778117604097
2025/26,2427,10,Motor Lublin,Radomiak Radom,D,0.4164520401590876,0.2466438087748565,0.3369041510660562,1.5394497987003948,1.3610581027637163,1,1.4372570004100755,1.4277143741404592
2025/26,2428,10,Zagłębie Lubin,Arka Gdynia,H,0.6309309785849089,0.24093082424916917,0.12813819716592184,1.626772759753448,0.5749842948921582,1,0.39406457467145645,0.4383264177931663
2025/26,2429,10,Korona Kielce,Lechia Gdańsk,H,0.4919933019909056,0.24324654111295554,0.26476015689613897,1.6583377333475573,1.151283425983958,1,0.6393052866249573,0.7215189767466451
2025/26,2430,10,Cracovia,Górnik Zabrze,D,0.42302216352209115,0.2717132479512644,0.3052645885266444,1.3399782621172691,1.0950610944423549,1,1.3310890661911965,1.3222563861083743
2025/26,2431,10,Lech Poznań,Jagiellonia Białystok,D,0.4487215484516478,0.24887030944614172,0.30240814210221056,1.563968858267661,1.2397855032299907,1,1.431891381250216,1.4609974102799599
2025/26,2432,10,Piast Gliwice,Bruk-Bet Termalica Nieciecza,H,0.4813222016384239,0.25856563928745285,0.2601121590741234,1.5064486989841033,1.0345361159122344,1,0.6625647860196201,0.8006385076799273
2025/26,2433,10,Widzew Łódź,Raków Częstochowa,A,0.2874981951879577,0.2874824784293509,0.42501932638269146,0.964295280345128,1.2385911139418986,1,0.8720809182824734,0.9098997009604145
2025/26,2434,11,Arka Gdynia,Cracovia,H,0.16546594182477187,0.2740473313066589,0.5604867268685692,0.6261998743666107,1.408663032620496,1,1.8295488717006982,1.8520147174268944
2025/26,2435,11,Bruk-Bet Termalica Nieciecza,Widzew Łódź,A,0.455439523912213,0.2393001377879416,0.3052603382998453,1.6699562038286961,1.3270731666503341,1,1.2576928975350836,1.1815067907359655
2025/26,2436,11,Lechia Gdańsk,Wisła Płock,D,0.2082845583800303,0.26080968093905404,0.5309057606809157,0.836049196648044,1.5079384664408737,1,1.3622054518710134,1.3325275224391
2025/26,2437,11,Górnik Zabrze,Legia Warszawa,H,0.3213450984803038,0.2592039098458174,0.4194509916738789,1.2199215411211675,1.431499873196879,1,1.0925726991301885,1.0411863178031495
2025/26,2438,11,Radomiak Radom,Zagłębie Lubin,H,0.44493352069025305,0.257708619852718,0.2973578594570289,1.4789546609627453,1.1605550835277672,1,0.7440174308018576,0.799777288198357
