player_slug,seasons,clubs,club_count,season_count,first_season,last_season,sample_name,season_club_path
matej-rodin,2023/24 | 2024/25 | 2025/26,lechia-gdansk | rakow-czestochowa,2,3,2023/24,2025/26,Matej RodinRaków Częstochowa,2023/24:rakow-czestochowa || 2024/25:rakow-czestochowa || 2025/26:lechia-gdansk
mateusz-bartolewski,2023/24 | 2024/25,ruch-chorzow | slask-wroclaw,2,2,2023/24,2024/25,Mateusz BartolewskiRuch Chorzów,2023/24:ruch-chorzow || 2024/25:slask-wroclaw
mateusz-skrzypczak,2023/24 | 2024/25 | 2025/26,jagiellonia-bialystok | lech-poznan,2,3,2023/24,2025/26,Mateusz SkrzypczakJagiellonia Białystok,2023/24:jagiellonia-bialystok || 2024/25:jagiellonia-bialystok || 2025/26:lech-poznan
matias-nahuel-leiva-esquivel,2023/24 | 2024/25 | 2025/26,jagiellonia-bialystok | slask-wroclaw,2,3,2023/24,2025/26,Matías Nahuel Leiva EsquivelŚląsk Wrocław,2023/24:slask-wroclaw || 2024/25:slask-wroclaw || 2025/26:jagiellonia-bialystok
micha-rzuchowski,2023/24 | 2025/26,arka-gdynia | slask-wroclaw,2,2,2023/24,2025/26,Michał RzuchowskiŚląsk Wrocław,2023/24:slask-wroclaw || 2025/26:arka-gdynia
michael-ameyaw,2023/24 | 2024/25 | 2025/26,piast-gliwice | rakow-czestochowa,2,3,2023/24,2025/26,Michael AmeyawPiast Gliwice,2023/24:piast-gliwice || 2024/25:piast-gliwice || 2025/26:rakow-czestochowa
michal-sacek,2023/24 | 2024/25 | 2025/26,gornik-zabrze | jagiellonia-bialystok,2,3,2023/24,2025/26,Michal SáčekJagiellonia Białystok,2023/24:jagiellonia-bialystok || 2024/25:jagiellonia-bialystok || 2025/26:gornik-zabrze
michal-siplak,2023/24 | 2024/25,gornik-zabrze | puszcza-niepolomice,2,2,2023/24,2024/25,Michal SipľakGórnik Zabrze,2023/24:gornik-zabrze || 2024/25:puszcza-niepolomice
michalis-kosidis,2024/25 | 2025/26,puszcza-niepolomice | zagebie-lubin,2,2,2024/25,2025/26,Michalis KosidisPuszcza Niepołomice,2024/25:puszcza-niepolomice || 2025/26:zagebie-lubin
miosz-matysik,2023/24 | 2025/26,jagiellonia-bialystok | nieciecza,2,2,2023/24,2025/26,Miłosz MatysikJagiellonia Białystok,2023/24:jagiellonia-bialystok || 2025/26:nieciecza
mohamed-lamine-diaby-fadiga,2024/25 | 2025/26,jagiellonia-bialystok | rakow-czestochowa,2,2,2024/25,2025/26,Mohamed Lamine Diaby-FadigaJagiellonia Białystok,2024/25:jagiellonia-bialystok || 2025/26:rakow-czestochowa
norbert-wojtuszek,2023/24 | 2024/25 | 2025/26,gornik-zabrze | jagiellonia-bialystok,2,3,2023/24,2025/26,Norbert WojtuszekGórnik Zabrze,2023/24:gornik-zabrze || 2024/25:jagiellonia-bialystok || 2025/26:jagiellonia-bialystok
oliwier-zych,2023/24 | 2025/26,puszcza-niepolomice | rakow-czestochowa,2,2,2023/24,2025/26,Oliwier ZychPuszcza Niepołomice,2023/24:puszcza-niepolomice || 2025/26:rakow-czestochowa
oskar-repka,2024/25 | 2025/26,gks-katowice | rakow-czestochowa,2,2,2024/25,2025/26,Oskar RepkaGKS Katowice,2024/25:gks-katowice || 2025/26:rakow-czestochowa
patryk-janasik,2023/24 | 2024/25,cracovia | slask-wroclaw,2,2,2023/24,2024/25,Patryk JanasikŚląsk Wrocław,2023/24:slask-wroclaw || 2024/25:cracovia
patryk-makuch,2023/24 | 2024/25 | 2025/26,cracovia | rakow-czestochowa,2,3,2023/24,2025/26,Patryk MakuchCracovia,2023/24:cracovia || 2024/25:rakow-czestochowa || 2025/26:rakow-czestochowa
patryk-sokoowski,2023/24 | 2024/25,cracovia | legia-warszawa,2,2,2023/24,2024/25,Patryk SokołowskiLegia Warszawa,2023/24:legia-warszawa || 2024/25:cracovia
pawe-stolarski,2023/24 | 2024/25 | 2025/26,motor-lublin | pogon-szczecin,2,3,2023/24,2025/26,Paweł StolarskiPogoń Szczecin,2023/24:pogon-szczecin || 2024/25:motor-lublin || 2025/26:motor-lublin
piotr-krawczyk,2023/24 | 2025/26,gornik-zabrze | wisla-plock,2,2,2023/24,2025/26,Piotr KrawczykGórnik Zabrze,2023/24:gornik-zabrze || 2025/26:wisla-plock
rafa-adamski,2024/25 | 2025/26,legia-warszawa | zagebie-lubin,2,2,2024/25,2025/26,Rafał AdamskiKGHM Zagłębie Lubin,2024/25:zagebie-lubin || 2025/26:legia-warszawa
rafa-leszczynski,2023/24 | 2024/25 | 2025/26,slask-wroclaw | wisla-plock,2,3,2023/24,2025/26,Rafał LeszczyńskiŚląsk Wrocław,2023/24:slask-wroclaw || 2024/25:slask-wroclaw || 2025/26:wisla-plock
rafa-maciej-kurzawa,2023/24 | 2024/25 | 2025/26,nieciecza | pogon-szczecin,2,3,2023/24,2025/26,Rafał Maciej KurzawaPogoń Szczecin,2023/24:pogon-szczecin || 2024/25:pogon-szczecin || 2025/26:nieciecza
rafa-tadeusz-gikiewicz,2023/24 | 2024/25 | 2025/26,widzew-lodz | zagebie-lubin,2,3,2023/24,2025/26,Rafał Tadeusz GikiewiczWidzew Łódź,2023/24:widzew-lodz || 2024/25:widzew-lodz || 2025/26:zagebie-lubin
rahil-mmmdov,2023/24 | 2024/25,lks-lodz | radomiak-radom,2,2,2023/24,2024/25,Rahil MəmmədovŁKS Łódź,2023/24:lks-lodz || 2024/25:radomiak-radom
renat-dadasov,2024/25 | 2025/26,motor-lublin | radomiak-radom,2,2,2024/25,2025/26,Renat DadaşovRadomiak Radom,2024/25:radomiak-radom || 2025/26:motor-lublin
robert-dadok,2023/24 | 2024/25,ruch-chorzow | stal-mielec,2,2,2023/24,2024/25,Robert DadokRuch Chorzów,2023/24:ruch-chorzow || 2024/25:stal-mielec
roman-yakuba,2023/24 | 2024/25 | 2025/26,puszcza-niepolomice | zagebie-lubin,2,3,2023/24,2025/26,Roman YakubaPuszcza Niepołomice,2023/24:puszcza-niepolomice || 2024/25:puszcza-niepolomice || 2025/26:zagebie-lubin
said-hamulic,2024/25 | 2025/26,widzew-lodz | wisla-plock,2,2,2024/25,2025/26,Saïd HamulićWidzew Łódź,2024/25:widzew-lodz || 2025/26:wisla-plock
sebastian-bergier,2024/25 | 2025/26,gks-katowice | widzew-lodz,2,2,2024/25,2025/26,Sebastian BergierGKS Katowice,2024/25:gks-katowice || 2025/26:widzew-lodz
sebastian-kerk,2023/24 | 2024/25 | 2025/26,arka-gdynia | widzew-lodz,2,3,2023/24,2025/26,Sebastian KerkWidzew Łódź,2023/24:widzew-lodz || 2024/25:widzew-lodz || 2025/26:arka-gdynia
sebastian-musiolik,2023/24 | 2024/25,gornik-zabrze | slask-wroclaw,2,2,2023/24,2024/25,Sebastian Karol MusiolikGórnik Zabrze,2023/24:gornik-zabrze || 2024/25:slask-wroclaw
sebastian-oskar-kowalczyk,2023/24 | 2025/26,pogon-szczecin | zagebie-lubin,2,2,2023/24,2025/26,Sebastian Oskar KowalczykPogoń Szczecin,2023/24:pogon-szczecin || 2025/26:zagebie-lubin
serhii-buletsa,2023/24 | 2024/25,lechia-gdansk | zagebie-lubin,2,2,2023/24,2024/25,Serhii BuletsaKGHM Zagłębie Lubin,2023/24:zagebie-lubin || 2024/25:lechia-gdansk
szymon-weirauch,2023/24 | 2024/25 | 2025/26,lechia-gdansk | zagebie-lubin,2,3,2023/24,2025/26,Szymon WeirauchKGHM Zagłębie Lubin,2023/24:zagebie-lubin || 2024/25:lechia-gdansk || 2025/26:lechia-gdansk
tomasz-loska,2024/25 | 2025/26,gornik-zabrze | slask-wroclaw,2,2,2024/25,2025/26,Tomasz LoskaŚląsk Wrocław,2024/25:slask-wroclaw || 2025/26:gornik-zabrze
tomasz-wojtowicz,2023/24 | 2024/25 | 2025/26,lechia-gdansk | ruch-chorzow,2,3,2023/24,2025/26,Tomasz WójtowiczRuch Chorzów,2023/24:ruch-chorzow || 2024/25:lechia-gdansk || 2025/26:lechia-gdansk
tornike-gaprindashvili,2023/24 | 2025/26,arka-gdynia | zagebie-lubin,2,2,2023/24,2025/26,Tornike GaprindashviliKGHM Zagłębie Lubin,2023/24:zagebie-lubin || 2025/26:arka-gdynia
ukasz-gerstenstein,2023/24 | 2024/25,slask-wroclaw | stal-mielec,2,2,2023/24,2024/25,Łukasz GerstensteinStal Mielec,2023/24:stal-mielec || 2024/25:slask-wroclaw
vahan-bichakhchyan,2023/24 | 2024/25 | 2025/26,legia-warszawa | pogon-szczecin,2,3,2023/24,2025/26,Vahan BichakhchyanPogoń Szczecin,2023/24:pogon-szczecin || 2024/25:legia-warszawa || 2025/26:legia-warszawa
vladan-kovacevic,2023/24 | 2024/25,legia-warszawa | rakow-czestochowa,2,2,2023/24,2024/25,Vladan KovačevićRaków Częstochowa,2023/24:rakow-czestochowa || 2024/25:legia-warszawa
wiktor-dugosz,2023/24 | 2024/25 | 2025/26,korona-kielce | ruch-chorzow,2,3,2023/24,2025/26,Wiktor DługoszRuch Chorzów,2023/24:ruch-chorzow || 2024/25:korona-kielce || 2025/26:korona-kielce
