match_id,sezon,waga_sezonu,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,xg_gosp,xg_gosc,flash_id,flash_url
1743,2023/24,0.4,7,2023-09-03,Raków Częstochowa,Puszcza Niepołomice,2,0,58.9,41.1,13.0,8.0,6.0,1.0,2.0,3.0,5.0,4.0,7.0,3.0,17.0,20.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,21.0,14.0,4.0,3.0,5.0,7.0,446.0,309.0,365.0,214.0,,,,
1744,2023/24,0.4,7,2023-09-01,Ruch Chorzów,Stal Mielec,1,1,47.2,52.8,17.0,13.0,5.0,4.0,3.0,6.0,9.0,3.0,10.0,3.0,9.0,6.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,24.0,9.0,3.0,0.0,13.0,6.0,372.0,433.0,263.0,345.0,,,,
1745,2023/24,0.4,7,2023-09-01,ŁKS Łódź,Warta Poznań,0,2,68.3,31.7,12.0,5.0,1.0,2.0,3.0,1.0,8.0,2.0,1.0,0.0,15.0,27.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,20.0,4.0,2.0,1.0,10.0,13.0,540.0,255.0,450.0,168.0,,,,
1746,2023/24,0.4,7,2023-09-03,Śląsk Wrocław,Jagiellonia Białystok,2,1,27.3,72.7,12.0,9.0,4.0,3.0,2.0,2.0,6.0,4.0,3.0,5.0,12.0,12.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,13.0,16.0,5.0,3.0,3.0,14.0,228.0,631.0,161.0,537.0,,,,
1747,2023/24,0.4,8,2023-09-15,Górnik Zabrze,Ruch Chorzów,1,0,57.6,42.4,16.0,10.0,3.0,1.0,4.0,7.0,9.0,2.0,12.0,5.0,18.0,17.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,27.0,18.0,11.0,3.0,13.0,11.0,401.0,295.0,306.0,208.0,,,,
1748,2023/24,0.4,8,2023-09-17,Jagiellonia Białystok,Radomiak Radom,3,2,54.3,45.7,11.0,11.0,5.0,4.0,1.0,3.0,5.0,4.0,4.0,6.0,14.0,15.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,17.0,22.0,3.0,6.0,7.0,7.0,420.0,347.0,326.0,258.0,,,,
1749,2023/24,0.4,8,2023-09-16,Piast Gliwice,Legia Warszawa,1,1,49.5,50.5,13.0,6.0,3.0,3.0,2.0,2.0,8.0,1.0,3.0,1.0,23.0,16.0,2.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,18.0,7.0,9.0,3.0,8.0,8.0,410.0,429.0,313.0,334.0,,,,
1750,2023/24,0.4,8,2023-09-16,Pogoń Szczecin,Korona Kielce,3,1,54.4,45.6,26.0,8.0,9.0,5.0,10.0,1.0,7.0,2.0,6.0,9.0,13.0,11.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,24.0,8.0,4.0,12.0,10.0,434.0,355.0,359.0,262.0,,,,
1751,2023/24,0.4,8,2023-09-15,Puszcza Niepołomice,Śląsk Wrocław,1,3,40.8,59.2,7.0,19.0,4.0,7.0,2.0,6.0,1.0,6.0,3.0,3.0,25.0,14.0,5.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,15.0,10.0,2.0,1.0,20.0,5.0,298.0,440.0,196.0,331.0,,,,
1752,2023/24,0.4,8,2023-09-16,Raków Częstochowa,ŁKS Łódź,1,0,55.8,44.2,10.0,16.0,1.0,5.0,3.0,7.0,6.0,4.0,5.0,6.0,18.0,19.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,17.0,10.0,4.0,2.0,6.0,15.0,465.0,374.0,387.0,285.0,,,,
1753,2023/24,0.4,8,2023-09-18,Stal Mielec,Zagłębie Lubin,4,2,55.8,44.2,18.0,9.0,6.0,4.0,3.0,3.0,9.0,2.0,5.0,2.0,18.0,8.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,18.0,8.0,4.0,1.0,7.0,3.0,558.0,446.0,485.0,358.0,,,,
1754,2023/24,0.4,8,2023-09-17,Warta Poznań,Lech Poznań,0,2,34.3,65.7,7.0,11.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,6.0,11.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,6.0,14.0,9.0,301.0,577.0,207.0,485.0,,,,
1755,2023/24,0.4,8,2023-09-17,Widzew Łódź,Cracovia,2,0,44.2,55.8,10.0,13.0,6.0,2.0,2.0,3.0,2.0,8.0,4.0,6.0,11.0,10.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,21.0,25.0,4.0,6.0,9.0,10.0,337.0,431.0,235.0,341.0,,,,
