flash_team,klub_slug,flash_name,review_current_status,review_existing_player_slug,review_proposed_status,review_proposed_player_slug,review_evidence,final_status,player_slug,match_method,identity_clubs_all,identity_seasons_all,identity_target_season_clubs,identity_season_club_path,identity_sample_name,identity_in_target_club,prior_available,prior_source_season,prior_missing_reason,prior_prev_name,prior_prev_klub_slug,prior_gk_bramki-stracone,prior_gk_czyste-konta,prior_gk_gk-dlugie-podania-celne,prior_gk_gk-mecze-rozegrane,prior_gk_gk-minuty-rozegrane,prior_gk_gk-piastkowania,prior_gk_gk-podania,prior_gk_gk-podania-celne,prior_gk_gk-rzuty-karne-przeciwko,prior_gk_obronione-rzuty-karne,prior_gk_obronione-strzaly,prior_pole_asysty,prior_pole_celne-strzaly,prior_pole_celnosc-strzalow,prior_pole_dogodne-szanse,prior_pole_dosrodkowania,prior_pole_dosrodkowania-celne,prior_pole_dryblingi,prior_pole_faule,prior_pole_faule-wywalczone,prior_pole_gole,prior_pole_gole-z-gry,prior_pole_gole-z-pola-karnego,prior_pole_gole-z-rzutow-karnych,prior_pole_kanadyjska,prior_pole_karne-wykonane,prior_pole_kluczowe-podania,prior_pole_konwersja-strzalow,prior_pole_minuty,prior_pole_odbiory,prior_pole_podania,prior_pole_podania-celne,prior_pole_podania-celne-w-polowie-przeciwnika,prior_pole_podania-w-polowie-przeciwnika,prior_pole_pojedynki-obronne-wygrane,prior_pole_pojedynki-wygrane,prior_pole_przechwyty,prior_pole_rzuty-rozne,prior_pole_spalone,prior_pole_strzaly,prior_pole_stworzone-dogodne-szanse,prior_pole_wybicia,prior_pole_xa,prior_pole_xg,prior_pole_xgot,prior_pole_zablokowane-strzaly
Cracovia,cracovia,Hoskonen A.,unresolved,,auto_same_club_history,arttu-hoskonen,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,arttu-hoskonen,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Arttu HoskonenCracovia,1.0,1,2023/24,,Arttu HoskonenCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,54.0,0.0,6.0,0.0,3.0,11.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,8.0,2152.0,21.0,1036.0,0.0,296.0,395.0,21.0,84.0,15.0,0.0,2.0,13.0,0.0,78.0,0.6,1.7,1.7,6.0
Cracovia,cracovia,Janasik P.,unresolved,,auto_same_club_history,patryk-janasik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,patryk-janasik,review_auto_same_club_history,cracovia | slask-wroclaw,2023/24 | 2024/25,cracovia,2023/24:slask-wroclaw | 2024/25:cracovia,Patryk JanasikŚląsk Wrocław,1.0,1,2023/24,,Patryk JanasikŚląsk Wrocław,slask-wroclaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,18.0,0.0,33.0,6.0,16.0,11.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,2032.0,9.0,919.0,0.0,321.0,462.0,9.0,63.0,37.0,1.0,0.0,11.0,0.0,64.0,0.8,0.6,0.1,2.0
Cracovia,cracovia,Jaroszynski P.,unresolved,,auto_same_club_history,pawe-jaroszynski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,pawe-jaroszynski,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Paweł Kamil JaroszyńskiCracovia,1.0,1,2023/24,,Paweł Kamil JaroszyńskiCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,44.0,0.0,62.0,11.0,19.0,27.0,16.0,3.0,1.0,1.0,0.0,4.0,0.0,19.0,33.0,1427.0,18.0,476.0,0.0,206.0,348.0,18.0,76.0,27.0,6.0,1.0,9.0,0.0,34.0,1.6,0.8,1.4,5.0
Cracovia,cracovia,Jugas J.,unresolved,,auto_same_club_history,jakub-jugas,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,jakub-jugas,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Jakub JugasCracovia,1.0,1,2023/24,,Jakub JugasCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,9.0,2.0,1.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1015.0,13.0,413.0,0.0,127.0,179.0,13.0,48.0,10.0,0.0,0.0,4.0,0.0,47.0,0.7,0.5,0.2,3.0
Cracovia,cracovia,Kakabadze O.,unresolved,,auto_same_club_history,otar-kakabadze,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,otar-kakabadze,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Otar KakabadzeCracovia,1.0,1,2023/24,,Otar KakabadzeCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,0.0,56.0,7.0,45.0,34.0,11.0,2.0,2.0,1.0,0.0,2.0,0.0,11.0,17.0,1588.0,30.0,611.0,0.0,250.0,419.0,30.0,97.0,34.0,1.0,1.0,12.0,0.0,36.0,1.3,0.6,1.1,5.0
Cracovia,cracovia,Kallman B.,unresolved,,auto_same_club_history,benjamin-kallman,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,benjamin-kallman,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Paul Benjamin Sven-Eber KällmanCracovia,1.0,1,2023/24,,Paul Benjamin Sven-Eber KällmanCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,53.0,0.0,11.0,6.0,50.0,41.0,41.0,9.0,8.0,7.0,0.0,15.0,0.0,35.0,23.0,2620.0,7.0,482.0,0.0,251.0,408.0,7.0,147.0,6.0,0.0,10.0,40.0,0.0,28.0,3.2,7.4,9.5,12.0
Cracovia,cracovia,Knap K.,unresolved,,auto_same_club_history,karol-knap,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | present_in_target_season,matched_auto_same_club_history,karol-knap,review_auto_same_club_history,cracovia | stal-mielec,2023/24 | 2024/25 | 2025/26,stal-mielec,2023/24:cracovia | 2024/25:stal-mielec | 2025/26:cracovia,Karol KnapCracovia,0.0,1,2023/24,,Karol KnapCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,50.0,0.0,18.0,5.0,15.0,21.0,21.0,4.0,2.0,4.0,2.0,7.0,2.0,29.0,25.0,1456.0,12.0,559.0,0.0,274.0,457.0,12.0,76.0,18.0,53.0,1.0,16.0,0.0,24.0,2.6,2.9,3.4,11.0
Cracovia,cracovia,Lachowicz O.,unresolved,,auto_same_club_history,oskar-lachowicz,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,oskar-lachowicz,review_auto_same_club_history,cracovia,2024/25,cracovia,2024/25:cracovia,Oskar LachowiczCracovia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cracovia,cracovia,Madejski S.,unresolved,,auto_same_club_history,sebastian-madejski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,sebastian-madejski,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Sebastian MadejskiCracovia,1.0,1,2023/24,,Sebastian MadejskiCracovia,cracovia,35.0,7.0,176.0,27.0,2430.0,15.0,632.0,0.0,7.0,1.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2430.0,0.0,632.0,0.0,131.0,321.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
Cracovia,cracovia,Maigaard M.,unresolved,,auto_same_club_history,mikkel-maigaard-jakobsen,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,mikkel-maigaard-jakobsen,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Mikkel Maigaard JakobsenCracovia,1.0,1,2023/24,,Mikkel Maigaard JakobsenCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,50.0,0.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,468.0,6.0,159.0,0.0,80.0,117.0,6.0,22.0,4.0,2.0,1.0,6.0,0.0,10.0,0.5,1.8,2.3,4.0
