player_slug,nazwa,klub_slug,gk_bramki-stracone,gk_czyste-konta,gk_gk-dlugie-podania-celne,gk_gk-mecze-rozegrane,gk_gk-minuty-rozegrane,gk_gk-piastkowania,gk_gk-podania-celne,gk_gk-podania,gk_gk-rzuty-karne-przeciwko,gk_obronione-rzuty-karne,gk_obronione-strzaly,pole_asysty,pole_celne-strzaly,pole_celnosc-strzalow,pole_dogodne-szanse,pole_dosrodkowania-celne,pole_dosrodkowania,pole_dryblingi,pole_faule-wywalczone,pole_faule,pole_gole-z-gry,pole_gole-z-pola-karnego,pole_gole-z-rzutow-karnych,pole_gole,pole_kanadyjska,pole_karne-wykonane,pole_kluczowe-podania,pole_konwersja-strzalow,pole_minuty,pole_odbiory,pole_podania-celne-w-polowie-przeciwnika,pole_podania-celne,pole_podania-w-polowie-przeciwnika,pole_podania,pole_pojedynki-obronne-wygrane,pole_pojedynki-wygrane,pole_przechwyty,pole_rzuty-rozne,pole_spalone,pole_strzaly,pole_stworzone-dogodne-szanse,pole_wybicia,pole_xa,pole_xg,pole_xgot,pole_zablokowane-strzaly
virgil-ghita,Virgil Eugen GhițăCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,11,39,0,1,10,10,4,26,1,4,0,4,4,0,10,14,2434,22,441,0,626,1279,22,111,54,0,0,28,0,82,1,2.8,1.9,9
adrian-kapralik,Adrián KaprálikGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,2,21,50,0,10,41,64,36,39,7,7,0,7,9,0,16,17,2071,18,189,0,300,410,18,116,14,0,4,42,0,15,1.3,7.4,7.7,16
boris-sekulic,Boris SekulićGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,1,1,25,0,5,19,31,15,36,0,0,0,0,1,0,20,0,2007,19,320,0,428,895,19,81,18,0,0,4,0,34,1.7,0.8,0.1,1
daisuke-yokota,Daisuke YokotaGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,1,12,75,0,4,17,44,42,23,4,7,3,7,8,3,28,44,1540,18,244,0,347,535,18,103,8,0,2,16,0,6,2.4,4.6,4.3,10
damian-rasak,Damian RasakGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,2,8,33,0,2,16,29,55,35,1,2,0,2,4,0,15,8,2899,33,624,0,779,1457,33,166,44,0,0,24,0,58,1.3,2.1,1.5,16
daniel-pacheco-lobato,Dani PachecoGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,3,5,33,0,6,33,37,12,19,0,0,0,1,4,0,39,7,1812,21,494,0,713,1086,21,82,27,58,0,15,0,28,3.2,0.6,0.6,3
daniel-bielica,Daniel BielicaGórnik Zabrze,gornik-zabrze,41,10,249,34,3060,19,0,1126,1,0,99,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3060,0,104,0,373,1126,0,14,0,0,0,0,0,36,0,0,0,0
dominik-jerzy-szala,Dominik Jerzy SzalaGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,2,3,3,20,0,0,0,0,0,0,0,0,830,9,141,0,184,510,9,37,14,0,0,1,0,47,0.1,0.1,0.1,1
erik-janza,Erik JanžaGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,4,5,63,0,8,49,8,24,28,0,0,0,0,4,0,30,0,1721,24,429,0,628,1015,24,80,23,55,1,8,0,48,2.8,0.4,0.8,3
filipe-nascimento,Filipe NascimentoGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,2,2,67,0,0,4,5,6,7,1,1,0,1,3,0,2,33,243,4,84,0,106,163,4,14,3,3,0,3,0,3,0.4,0.8,1.3,4
