match_id,sezon,waga_sezonu,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,xg_gosp,xg_gosc,flash_id,flash_url
2141,2024/25,0.7,15,2024-11-10,Jagiellonia Białystok,Raków Częstochowa,2,2,64.0,36.0,22,10,11,4,2,3,9,3,6,2,10,20,1,0,4,4,0,1,0,1,17,10,4,2,10,9,631,351,549,269,1.63,1.37,Ai3AESrh,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=Ai3AESrh
2142,2024/25,0.7,15,2024-11-09,Korona Kielce,Lechia Gdańsk,0,0,47.9,52.1,18,6,4,0,6,2,8,4,6,4,10,11,1,0,2,4,0,0,0,0,22,16,10,2,9,7,389,431,319,361,1.9,0.18,6JdJC6D4,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=6JdJC6D4
2143,2024/25,0.7,15,2024-11-10,Lech Poznań,Legia Warszawa,5,2,52.7,47.3,19,18,11,4,5,7,3,7,5,6,10,18,0,0,3,3,0,0,0,0,15,19,2,5,10,9,393,352,320,281,2.54,2.0,vXfRAprH,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=vXfRAprH
2144,2024/25,0.7,15,2024-11-08,Piast Gliwice,Motor Lublin,2,3,50.0,50.0,15,6,6,3,6,1,3,2,5,2,13,14,3,2,0,1,0,0,0,0,28,6,5,1,6,7,496,517,410,433,1.38,1.75,bZAS8OCT,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=bZAS8OCT
2145,2024/25,0.7,15,2024-11-08,Pogoń Szczecin,Radomiak Radom,0,1,61.0,39.0,24,11,9,3,7,2,8,6,17,6,8,12,0,3,2,1,0,0,0,0,38,18,4,1,10,13,477,312,386,217,1.82,1.07,UH1b32zi,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=UH1b32zi
2146,2024/25,0.7,15,2024-11-10,Stal Mielec,Puszcza Niepołomice,2,0,64.9,35.1,18,5,6,2,6,0,6,3,8,2,10,13,1,0,0,2,0,0,0,0,32,8,7,1,8,13,489,275,412,193,2.2,0.21,CtRrBEgc,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=CtRrBEgc
2147,2024/25,0.7,15,2024-11-09,Widzew Łódź,Zagłębie Lubin,2,0,42.1,57.9,15,15,6,6,2,2,7,7,6,6,3,10,1,2,1,2,0,0,0,0,15,29,3,7,6,5,361,495,288,419,0.89,1.15,K6Uj9hO9,https://www.flashscore.pl/mecz/pilka-nozna/widzew-lodz-rNOIW3uC/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=K6Uj9hO9
2148,2024/25,0.7,15,2024-11-09,Śląsk Wrocław,Górnik Zabrze,0,1,45.0,55.0,10,13,0,4,5,5,5,4,5,1,18,11,4,2,4,2,0,0,0,0,16,10,3,2,3,13,379,470,301,378,0.44,1.86,0Gxa7WhM,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=0Gxa7WhM
2149,2024/25,0.7,16,2024-11-24,Górnik Zabrze,Piast Gliwice,1,0,66.5,33.5,20,6,6,2,9,2,5,2,8,1,12,14,2,1,2,2,0,1,0,0,29,11,9,4,7,5,695,353,610,283,3.39,0.15,dnOU1AGq,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=dnOU1AGq
2150,2024/25,0.7,16,2024-11-22,Jagiellonia Białystok,Śląsk Wrocław,2,2,53.2,46.8,9,19,5,10,0,6,4,3,6,5,13,12,1,5,1,1,0,0,0,0,8,22,0,8,3,6,460,390,395,339,0.67,1.54,hEHw0lod,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=hEHw0lod
2151,2024/25,0.7,16,2024-11-22,Zagłębie Lubin,Motor Lublin,1,2,56.7,43.3,14,17,7,6,4,6,3,5,3,6,10,8,2,0,1,2,0,0,0,0,24,22,9,6,9,13,492,372,386,275,0.94,2.39,KK9PNiw3,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=KK9PNiw3
2152,2024/25,0.7,16,2024-11-23,Lech Poznań,GKS Katowice,2,0,60.8,39.2,26,16,13,2,7,6,6,8,6,3,15,8,1,0,0,2,0,0,0,0,19,16,2,7,7,10,575,368,506,294,2.78,0.77,tzbYLV7F,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=tzbYLV7F
2153,2024/25,0.7,16,2024-11-23,Lechia Gdańsk,Pogoń Szczecin,0,3,56.5,43.5,17,10,7,5,2,3,8,2,7,4,6,8,1,0,0,0,0,0,0,0,35,14,3,4,11,10,500,393,424,316,1.03,2.49,SjdtK9xS,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=SjdtK9xS
2154,2024/25,0.7,16,2024-11-23,Legia Warszawa,Cracovia,3,2,54.6,45.4,15,10,8,4,2,3,5,3,7,7,12,8,3,0,3,0,0,0,0,0,20,22,3,4,8,9,473,387,380,296,2.86,1.83,nywDEm0k,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=nywDEm0k
2155,2024/25,0.7,16,2024-11-25,Puszcza Niepołomice,Widzew Łódź,2,0,35.3,64.7,17,16,6,3,6,6,5,7,7,6,18,14,3,0,2,4,0,1,0,1,25,28,7,5,10,10,242,463,177,400,2.14,1.25,KlyLCRU1,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=KlyLCRU1
2156,2024/25,0.7,16,2024-11-24,Radomiak Radom,Stal Mielec,1,2,56.7,43.3,18,10,1,5,6,4,11,1,5,5,13,9,0,1,2,1,0,0,0,0,21,24,8,5,11,11,531,398,436,317,1.32,1.69,zcJ7zVM8,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=zcJ7zVM8
2157,2024/25,0.7,16,2024-11-24,Raków Częstochowa,Korona Kielce,1,1,55.3,44.7,10,8,4,1,3,3,3,4,3,7,19,13,1,2,2,1,0,0,0,0,17,17,2,6,12,9,435,349,348,256,0.35,0.6,tfMFY8iL,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=tfMFY8iL
