kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away,jest_beniaminek,ben_druzyna,n_mecze_ben,waga_priora,p_h_cal,p_d_cal,p_a_cal,wynik_pred_cal,ll_cal
29,GKS Katowice,Motor Lublin,864,3,2,5,H,1,1,1,1,1,1.8708,1.163,3.0338,0.5391,0.2256,0.2353,H,1,0.6179,0.5816,0.0481,0.1942,0.4157,0.6397,0.9519,0.8058,0.5843,0.3603,1.1292,0.837,0,,,,0.48008593018236134,0.26700829236697216,0.2529057774506666,H,0.7337901698893329
29,Raków Częstochowa,Cracovia,864,4,1,5,H,1,1,1,1,1,1.6262,0.8971,2.5233,0.5454,0.2474,0.2072,H,1,0.6062,0.4758,0.0802,0.2825,0.5378,0.7526,0.9198,0.7175,0.4622,0.2474,2.3738,0.1029,0,,,,0.4821814717324298,0.27584071475167676,0.24197781351589356,H,0.7294347384187008
30,Wisła Płock,Radomiak Radom,873,0,1,1,A,0,1,0,0,0,1.3958,0.9642,2.36,0.4689,0.2712,0.2598,H,0,1.3477,0.4655,0.0944,0.3173,0.5802,0.7871,0.9056,0.6827,0.4198,0.2129,1.3958,0.0358,1,Wisła Płock,29.0,0.2564,0.45549654826415115,0.2836789929138627,0.2608244588219861,H,1.3439076695004333
30,Lechia Gdańsk,Raków Częstochowa,873,1,2,3,A,1,1,1,1,0,1.4361,1.6349,3.071,0.3375,0.2385,0.4239,A,1,0.8582,0.6135,0.0464,0.1888,0.4075,0.6313,0.9536,0.8112,0.5925,0.3687,0.4361,0.3651,0,,,,0.4114742591619008,0.274855235183754,0.3136705056543453,H,1.159412189071713
30,Zagłębie Lubin,Bruk-Bet Termalica Nieciecza,873,1,2,3,A,1,1,1,1,0,1.8211,0.9876,2.8087,0.5693,0.2284,0.2023,H,0,1.598,0.526,0.0603,0.2296,0.4674,0.69,0.9397,0.7704,0.5326,0.31,0.8211,1.0124,1,Bruk-Bet Termalica Nieciecza,29.0,0.2564,0.4906099524500559,0.2688677914683805,0.24052225608156352,H,1.4249426528382823
30,Korona Kielce,GKS Katowice,873,1,1,2,D,1,1,1,0,0,1.3349,1.1415,2.4764,0.4112,0.27,0.3188,H,0,1.3093,0.5015,0.0841,0.2922,0.5499,0.7626,0.9159,0.7078,0.4501,0.2374,0.3349,0.1415,0,,,,0.4357252964650673,0.28367408907273417,0.2806006144621984,H,1.259929273475361
30,Cracovia,Pogoń Szczecin,873,1,1,2,D,1,1,1,0,0,1.5605,1.3551,2.9156,0.4229,0.2456,0.3316,H,0,1.4042,0.5862,0.0542,0.2121,0.4424,0.6662,0.9458,0.7879,0.5576,0.3338,0.5605,0.3551,0,,,,0.440485770263529,0.2747240826104419,0.28479014712602924,H,1.2919880209560555
30,Lech Poznań,Legia Warszawa,873,4,0,4,H,0,1,1,1,1,1.7741,1.1008,2.8749,0.5314,0.2336,0.235,H,1,0.6323,0.5542,0.0564,0.2186,0.4518,0.6753,0.9436,0.7814,0.5482,0.3247,2.2259,1.1008,0,,,,0.47731857333185046,0.27007826791446155,0.252603158753688,H,0.7395711423985604
30,Jagiellonia Białystok,Górnik Zabrze,873,1,2,3,A,1,1,1,1,0,1.6824,1.0538,2.7362,0.5207,0.2419,0.2374,H,0,1.4381,0.5303,0.0648,0.2422,0.4848,0.7061,0.9352,0.7578,0.5152,0.2939,0.6824,0.9462,0,,,,0.47354136656297047,0.2731676097096713,0.2532910237273582,H,1.3732161599203943
30,Piast Gliwice,Arka Gdynia,873,4,1,5,H,1,1,1,1,1,1.5613,0.7523,2.3136,0.5665,0.254,0.1795,H,1,0.5682,0.4178,0.0989,0.3277,0.5924,0.7966,0.9011,0.6723,0.4076,0.2034,2.4387,0.2477,1,Arka Gdynia,29.0,0.2564,0.4900192523101476,0.2791869526247521,0.23079379506510025,H,0.7133105982204409
30,Widzew Łódź,Motor Lublin,873,2,0,2,H,0,1,1,0,0,1.5725,1.1591,2.7316,0.469,0.2502,0.2808,H,1,0.7571,0.5438,0.0651,0.243,0.4859,0.7071,0.9349,0.757,0.5141,0.2929,0.4275,1.1591,0,,,,0.4558325307330245,0.27597979290769187,0.26818767635928376,H,0.7856297940875995
31,Arka Gdynia,Górnik Zabrze,882,0,0,0,D,0,0,0,0,0,0.9953,1.4381,2.4334,0.2611,0.2661,0.4728,A,0,1.324,0.4808,0.0877,0.3012,0.561,0.7717,0.9123,0.6988,0.439,0.2283,0.9953,1.4381,1,Arka Gdynia,30.0,0.25,0.38087550320326097,0.2891632389050559,0.32996125789168307,H,1.2407639098301333
31,Legia Warszawa,Widzew Łódź,882,1,0,1,H,0,1,0,0,0,1.5855,0.9282,2.5137,0.5275,0.2518,0.2207,H,1,0.6397,0.4808,0.081,0.2845,0.5403,0.7547,0.919,0.7155,0.4597,0.2453,0.5855,0.9282,0,,,,0.47586904717750733,0.2771271449842207,0.24700380783827192,H,0.7426125735723058
31,Motor Lublin,Lech Poznań,882,0,1,1,A,0,1,0,0,0,1.352,1.789,3.141,0.2911,0.2309,0.478,A,1,0.7382,0.6174,0.0432,0.1791,0.3924,0.6157,0.9568,0.8209,0.6076,0.3843,1.352,0.789,0,,,,0.39483551092481006,0.2746105841228613,0.33055390495232867,H,1.1069855317726203
31,Zagłębie Lubin,Cracovia,882,0,0,0,D,0,0,0,0,0,1.4265,1.1911,2.6176,0.4245,0.2607,0.3148,H,0,1.3443,0.5289,0.073,0.264,0.514,0.7322,0.927,0.736,0.486,0.2678,1.4265,1.1911,0,,,,0.440520131736593,0.2801669868253649,0.2793128814380421,H,1.2723694720585117
31,Radomiak Radom,Lechia Gdańsk,882,3,1,4,H,1,1,1,1,1,2.1424,1.6142,3.7566,0.5001,0.2076,0.2923,H,1,0.6929,0.7069,0.0234,0.1111,0.276,0.4825,0.9766,0.8889,0.724,0.5175,0.8576,0.6142,0,,,,0.46772243022868926,0.25940033551168823,0.2728772342596225,H,0.7598802568185123
31,Pogoń Szczecin,Wisła Płock,882,3,0,3,H,0,1,1,1,0,1.3781,0.8578,2.2359,0.4905,0.2759,0.2336,H,1,0.7123,0.4307,0.1069,0.3459,0.6131,0.8122,0.8931,0.6541,0.3869,0.1878,1.6219,0.8578,1,Wisła Płock,30.0,0.25,0.462992889998417,0.28555322283643986,0.25145388716514316,H,0.7700435813887226
31,Korona Kielce,Piast Gliwice,882,1,1,2,D,1,1,1,0,0,1.124,0.9181,2.0421,0.4021,0.3024,0.2954,H,0,1.1959,0.4055,0.1298,0.3947,0.6653,0.8495,0.8702,0.6053,0.3347,0.1505,0.124,0.0819,0,,,,0.4320314828556812,0.2949362891539871,0.2730322279903317,H,1.2209959149365086
31,GKS Katowice,Bruk-Bet Termalica Nieciecza,882,5,1,6,H,1,1,1,1,1,2.0969,1.0242,3.1211,0.6201,0.2036,0.1763,H,1,0.4779,0.5622,0.0441,0.1818,0.3966,0.6202,0.9559,0.8182,0.6034,0.3798,2.9031,0.0242,1,Bruk-Bet Termalica Nieciecza,30.0,0.25,0.5090571262858348,0.2600985330762764,0.23084434063788875,H,0.6751950363405242
31,Raków Częstochowa,Jagiellonia Białystok,882,0,2,2,A,0,1,1,0,0,1.5725,1.1086,2.6811,0.4807,0.2512,0.2681,H,0,1.3162,0.5309,0.0685,0.2521,0.4983,0.7183,0.9315,0.7479,0.5017,0.2817,1.5725,0.8914,0,,,,0.4597653057965501,0.2763582205989428,0.2638764736045073,H,1.3322741883498244
32,Wisła Płock,Motor Lublin,891,0,4,4,A,0,1,1,1,1,1.3392,0.9258,2.265,0.4628,0.2784,0.2588,H,0,1.3517,0.4456,0.1038,0.339,0.6053,0.8064,0.8962,0.661,0.3947,0.1936,1.3392,3.0742,1,Wisła Płock,31.0,0.2439,0.4533349531449017,0.2862385722481101,0.2604264746069881,H,1.345434704818015
32,Bruk-Bet Termalica Nieciecza,Legia Warszawa,891,0,1,1,A,0,1,0,0,0,1.2275,1.6168,2.8443,0.2903,0.2452,0.4645,A,1,0.7668,0.5666,0.0582,0.2236,0.459,0.6821,0.9418,0.7764,0.541,0.3179,1.2275,0.6168,1,Bruk-Bet Termalica Nieciecza,31.0,0.2439,0.3936071402494522,0.2798375053734447,0.32655535437710304,H,1.1191558059615794
32,Górnik Zabrze,Zagłębie Lubin,891,0,2,2,A,0,1,1,0,0,1.4893,0.8556,2.3449,0.521,0.2629,0.2161,H,0,1.5321,0.4453,0.0959,0.3206,0.5842,0.7902,0.9041,0.6794,0.4158,0.2098,1.4893,1.1444,0,,,,0.47364926643023764,0.28124273763843394,0.2451079959313284,H,1.4060563658413585
32,Cracovia,Radomiak Radom,891,0,0,0,D,0,0,0,0,0,1.7691,1.2403,3.0094,0.4981,0.2336,0.2683,H,0,1.4543,0.5895,0.0493,0.1978,0.4211,0.6451,0.9507,0.8022,0.5789,0.3549,1.7691,1.2403,0,,,,0.4660339829250785,0.2697274403253045,0.26423857674961704,H,1.3103433101287905
32,Lech Poznań,Arka Gdynia,891,1,1,2,D,1,1,1,0,0,2.5059,0.7457,3.2516,0.7572,0.1528,0.09,H,0,1.8787,0.4827,0.0387,0.1646,0.3693,0.5912,0.9613,0.8354,0.6307,0.4088,1.5059,0.2543,1,Arka Gdynia,31.0,0.2439,0.5664835261616022,0.24414430559106465,0.18937216824733302,H,1.409995812149843
32,Raków Częstochowa,Korona Kielce,891,2,0,2,H,0,1,1,0,0,1.5237,0.7462,2.2699,0.5585,0.2587,0.1828,H,1,0.5825,0.4112,0.1033,0.3379,0.6041,0.8055,0.8967,0.6621,0.3959,0.1945,0.4763,0.7462,0,,,,0.4871796622584932,0.2807466886565248,0.2320736490849821,H,0.719122307590574
32,Jagiellonia Białystok,Pogoń Szczecin,891,3,2,5,H,1,1,1,1,1,1.927,1.2377,3.1647,0.5346,0.2215,0.2439,H,1,0.6263,0.6066,0.0422,0.1759,0.3873,0.6104,0.9578,0.8241,0.6127,0.3896,1.073,0.7623,0,,,,0.47864153770885753,0.26527970652495236,0.25607875576619,H,0.7368033172428572
32,Piast Gliwice,GKS Katowice,891,0,0,0,D,0,0,0,0,0,1.3524,1.0914,2.4438,0.4272,0.2708,0.302,H,0,1.3064,0.4925,0.0868,0.299,0.5583,0.7695,0.9132,0.701,0.4417,0.2305,1.3524,1.0914,0,,,,0.44118834407873336,0.2837161196598477,0.27509553626141886,H,1.2597811193953523
32,Widzew Łódź,Lechia Gdańsk,891,3,1,4,H,1,1,1,1,1,1.7856,1.3679,3.1535,0.4738,0.2309,0.2953,H,1,0.747,0.6204,0.0427,0.1774,0.3897,0.6129,0.9573,0.8226,0.6103,0.3871,1.2144,0.3679,0,,,,0.45803058233179317,0.26867743086908674,0.2732919867991202,H,0.7808193234470097
33,Arka Gdynia,Bruk-Bet Termalica Nieciecza,900,2,3,5,A,1,1,1,1,1,1.5294,1.2018,2.7312,0.4485,0.2525,0.299,H,0,1.2074,0.5478,0.0651,0.2431,0.486,0.7072,0.9349,0.7569,0.514,0.2928,0.4706,1.7982,1,Arka Gdynia,32.0,0.2381,0.44886799352311274,0.2769277169133502,0.2742042895635371,H,1.293881868053833
33,Wisła Płock,Górnik Zabrze,900,0,1,1,A,0,1,0,0,0,0.9438,0.9682,1.912,0.335,0.317,0.348,A,1,1.0555,0.3789,0.1478,0.4303,0.7005,0.8726,0.8522,0.5697,0.2995,0.1274,0.9438,0.0318,1,Wisła Płock,32.0,0.2381,0.4076449881514608,0.3015615452094782,0.290793466639061,H,1.235142000428454
33,Lechia Gdańsk,Legia Warszawa,900,1,2,3,A,1,1,1,1,0,1.6789,1.6314,3.3103,0.3951,0.2298,0.3751,H,0,0.9805,0.6543,0.0365,0.1574,0.3574,0.5781,0.9635,0.8426,0.6426,0.4219,0.6789,0.3686,0,,,,0.4319168711025586,0.2695212945524398,0.29856183434500166,H,1.208778217367616
33,Motor Lublin,Cracovia,900,3,3,6,D,1,1,1,1,1,1.5693,1.3247,2.894,0.4315,0.246,0.3225,H,0,1.4024,0.5813,0.0554,0.2156,0.4474,0.671,0.9446,0.7844,0.5526,0.329,1.4307,1.6753,0,,,,0.44337078318515416,0.27474019134870054,0.2818890254661453,H,1.2919293866133814
33,Zagłębie Lubin,Pogoń Szczecin,900,0,1,1,A,0,1,0,0,0,1.3675,1.323,2.6905,0.3809,0.2586,0.3604,H,0,1.0205,0.5468,0.0678,0.2504,0.4959,0.7162,0.9322,0.7496,0.5041,0.2838,1.3675,0.323,0,,,,0.4256913953364829,0.28039725063938736,0.2939113540241298,H,1.224477074033551
