flash_team,klub_slug,flash_name,review_current_status,review_existing_player_slug,review_proposed_status,review_proposed_player_slug,review_evidence,final_status,player_slug,match_method,identity_clubs_all,identity_seasons_all,identity_target_season_clubs,identity_season_club_path,identity_sample_name,identity_in_target_club
Bruk-Bet Termalica Nieciecza,nieciecza,Zapolnik K.,matched_existing,kamil-zapolnik,matched_existing,kamil-zapolnik,already_in_player_mapping_csv,matched_existing,kamil-zapolnik,existing_mapping,nieciecza | puszcza-niepolomice,2023/24 | 2025/26,nieciecza,2023/24:puszcza-niepolomice | 2025/26:nieciecza,Kamil ZapolnikPuszcza Niepołomice,1
Cracovia,cracovia,Al Ammari A.,matched_existing,amir-fouad-aboud-al-ammari,matched_existing,amir-fouad-aboud-al-ammari,already_in_player_mapping_csv,matched_existing,amir-fouad-aboud-al-ammari,existing_mapping,cracovia,2024/25 | 2025/26,cracovia,2024/25:cracovia | 2025/26:cracovia,Amir Al AmmariCracovia,1
Cracovia,cracovia,Aleksic M.,matched_existing,milan-aleksic,matched_existing,milan-aleksic,already_in_player_mapping_csv,matched_existing,milan-aleksic,existing_mapping,cracovia,2025/26,cracovia,2025/26:cracovia,Milan AleksićCracovia,1
Cracovia,cracovia,Atanasov J.,matched_existing,jani-atanasov,matched_existing,jani-atanasov,already_in_player_mapping_csv,matched_existing,jani-atanasov,existing_mapping,cracovia | puszcza-niepolomice,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:puszcza-niepolomice | 2025/26:cracovia,Jani AtanasovCracovia,1
Cracovia,cracovia,Batoum J.,matched_existing,jean-florent-batoum-1,matched_existing,jean-florent-batoum-1,already_in_player_mapping_csv,matched_existing,jean-florent-batoum-1,existing_mapping,cracovia,2025/26,cracovia,2025/26:cracovia,Jean Florent BatoumCracovia,1
Cracovia,cracovia,Biedrzycki B.,matched_existing,bartosz-biedrzycki,matched_existing,bartosz-biedrzycki,already_in_player_mapping_csv,matched_existing,bartosz-biedrzycki,existing_mapping,cracovia,2024/25 | 2025/26,cracovia,2024/25:cracovia | 2025/26:cracovia,Bartosz BiedrzyckiCracovia,1
Cracovia,cracovia,Bogacz W.,matched_existing,wiktor-bogacz,matched_existing,wiktor-bogacz,already_in_player_mapping_csv,matched_existing,wiktor-bogacz,existing_mapping,cracovia,2025/26,cracovia,2025/26:cracovia,Wiktor BogaczCracovia,1
Cracovia,cracovia,Bzdyl F.,matched_existing,fabian-bzdyl,matched_existing,fabian-bzdyl,already_in_player_mapping_csv,matched_existing,fabian-bzdyl,existing_mapping,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Fabian BzdylCracovia,1
Cracovia,cracovia,Charpentier G.,matched_existing,gabriel-andre-joseph-charpentier,matched_existing,gabriel-andre-joseph-charpentier,already_in_player_mapping_csv,matched_existing,gabriel-andre-joseph-charpentier,existing_mapping,cracovia,2025/26,cracovia,2025/26:cracovia,Gabriel André Joseph CharpentierCracovia,1
Cracovia,cracovia,Cymerys K.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Cracovia,cracovia,Dominguez M.,matched_existing,maxime-dominguez,matched_existing,maxime-dominguez,already_in_player_mapping_csv,matched_existing,maxime-dominguez,existing_mapping,cracovia,2025/26,cracovia,2025/26:cracovia,Maxime DominguezCracovia,1
Cracovia,cracovia,Glik K.,matched_existing,kamil-jacek-glik,matched_existing,kamil-jacek-glik,already_in_player_mapping_csv,matched_existing,kamil-jacek-glik,existing_mapping,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Kamil Jacek GlikCracovia,1
Cracovia,cracovia,Golonka K.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
