flash_team,klub_slug,flash_name,review_current_status,review_existing_player_slug,review_proposed_status,review_proposed_player_slug,review_evidence,final_status,player_slug,match_method,identity_clubs_all,identity_seasons_all,identity_target_season_clubs,identity_season_club_path,identity_sample_name,identity_in_target_club,prior_available,prior_source_season,prior_missing_reason,prior_prev_name,prior_prev_klub_slug,prior_gk_bramki-stracone,prior_gk_czyste-konta,prior_gk_gk-dlugie-podania-celne,prior_gk_gk-mecze-rozegrane,prior_gk_gk-minuty-rozegrane,prior_gk_gk-piastkowania,prior_gk_gk-podania,prior_gk_gk-podania-celne,prior_gk_gk-rzuty-karne-przeciwko,prior_gk_obronione-rzuty-karne,prior_gk_obronione-strzaly,prior_pole_asysty,prior_pole_celne-strzaly,prior_pole_celnosc-strzalow,prior_pole_dogodne-szanse,prior_pole_dosrodkowania,prior_pole_dosrodkowania-celne,prior_pole_dryblingi,prior_pole_faule,prior_pole_faule-wywalczone,prior_pole_gole,prior_pole_gole-z-gry,prior_pole_gole-z-pola-karnego,prior_pole_gole-z-rzutow-karnych,prior_pole_kanadyjska,prior_pole_karne-wykonane,prior_pole_kluczowe-podania,prior_pole_konwersja-strzalow,prior_pole_minuty,prior_pole_odbiory,prior_pole_podania,prior_pole_podania-celne,prior_pole_podania-celne-w-polowie-przeciwnika,prior_pole_podania-w-polowie-przeciwnika,prior_pole_pojedynki-obronne-wygrane,prior_pole_pojedynki-wygrane,prior_pole_przechwyty,prior_pole_rzuty-rozne,prior_pole_spalone,prior_pole_strzaly,prior_pole_stworzone-dogodne-szanse,prior_pole_wybicia,prior_pole_xa,prior_pole_xg,prior_pole_xgot,prior_pole_zablokowane-strzaly
Arka Gdynia,arka-gdynia,Jakubczyk K.,matched_existing,kamil-jakubczyk,matched_existing,kamil-jakubczyk,already_in_player_mapping_csv,matched_existing,kamil-jakubczyk,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Kamil JakubczykArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Kerk S.,matched_existing,sebastian-kerk,matched_existing,sebastian-kerk,already_in_player_mapping_csv,matched_existing,sebastian-kerk,existing_mapping,arka-gdynia | widzew-lodz,2023/24 | 2024/25 | 2025/26,arka-gdynia,2023/24:widzew-lodz | 2024/25:widzew-lodz | 2025/26:arka-gdynia,Sebastian KerkWidzew Łódź,1.0,1,2024/25,,Sebastian KerkWidzew Łódź,widzew-lodz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,29.0,0.0,40.0,10.0,15.0,10.0,19.0,1.0,1.0,1.0,0.0,2.0,0.0,52.0,4.0,1550.0,5.0,695.0,0.0,386.0,637.0,5.0,38.0,1.0,71.0,2.0,24.0,0.0,12.0,5.0,2.5,2.4,10.0
Arka Gdynia,arka-gdynia,Kocyła D.,matched_existing,dawid-kocya,matched_existing,dawid-kocya,already_in_player_mapping_csv,matched_existing,dawid-kocya,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Dawid KocyłaArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Krzepisz K.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,,0,,unmapped_flash_player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Kubiak O.,matched_existing,oskar-kubiak,matched_existing,oskar-kubiak,already_in_player_mapping_csv,matched_existing,oskar-kubiak,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Oskar KubiakArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Marcjanik M.,matched_existing,micha-piotr-marcjanik,matched_existing,micha-piotr-marcjanik,already_in_player_mapping_csv,matched_existing,micha-piotr-marcjanik,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Michał Piotr MarcjanikArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Navarro M.,matched_existing,marc-navarro-ceciliano,matched_existing,marc-navarro-ceciliano,already_in_player_mapping_csv,matched_existing,marc-navarro-ceciliano,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Marc Navarro CecilianoArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Nguiamba A.,matched_existing,aurelien-thomas-nguiamba,matched_existing,aurelien-thomas-nguiamba,already_in_player_mapping_csv,matched_existing,aurelien-thomas-nguiamba,existing_mapping,arka-gdynia | jagiellonia-bialystok,2023/24 | 2024/25 | 2025/26,arka-gdynia,2023/24:jagiellonia-bialystok | 2024/25:jagiellonia-bialystok | 2025/26:arka-gdynia,Aurélien Thomas NguiambaJagiellonia Białystok,1.0,1,2024/25,,Aurélien Thomas NguiambaJagiellonia Białystok,jagiellonia-bialystok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,14.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,371.0,7.0,277.0,0.0,120.0,141.0,7.0,23.0,1.0,0.0,0.0,0.0,1.0,4.0,0.5,0.0,0.0,0.0
Arka Gdynia,arka-gdynia,Oliveira J.,matched_existing,joao-pedro-abreu-de-oliveira,matched_existing,joao-pedro-abreu-de-oliveira,already_in_player_mapping_csv,matched_existing,joao-pedro-abreu-de-oliveira,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,João Pedro Abreu de OliveiraArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Percan,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,,0,,unmapped_flash_player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Perea L.,matched_existing,luis-perea-hernandez,matched_existing,luis-perea-hernandez,already_in_player_mapping_csv,matched_existing,luis-perea-hernandez,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Luis Perea HernándezArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Petrovic Z.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,,0,,unmapped_flash_player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Predenkiewicz M.,matched_existing,marcel-predenkiewicz,matched_existing,marcel-predenkiewicz,already_in_player_mapping_csv,matched_existing,marcel-predenkiewicz,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Marcel PredenkiewiczArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Ratajczyk A.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,,0,,unmapped_flash_player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Rusyn N.,matched_existing,nazarii-rusyn,matched_existing,nazarii-rusyn,already_in_player_mapping_csv,matched_existing,nazarii-rusyn,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Nazarii RusynArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Rzuchowski M.,matched_existing,micha-rzuchowski,matched_existing,micha-rzuchowski,already_in_player_mapping_csv,matched_existing,micha-rzuchowski,existing_mapping,arka-gdynia | slask-wroclaw,2023/24 | 2025/26,arka-gdynia,2023/24:slask-wroclaw | 2025/26:arka-gdynia,Michał RzuchowskiŚląsk Wrocław,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Sidibe A.,matched_existing,alassane-sidibe,matched_existing,alassane-sidibe,already_in_player_mapping_csv,matched_existing,alassane-sidibe,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Alassane SidibeArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Sobczak S.,matched_existing,szymon-sobczak,matched_existing,szymon-sobczak,already_in_player_mapping_csv,matched_existing,szymon-sobczak,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Szymon SobczakArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Stolc P.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,,0,,unmapped_flash_player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Szota S.,matched_existing,serafin-jan-szota,matched_existing,serafin-jan-szota,already_in_player_mapping_csv,matched_existing,serafin-jan-szota,existing_mapping,arka-gdynia | slask-wroclaw | widzew-lodz,2023/24 | 2024/25 | 2025/26,arka-gdynia,2023/24:widzew-lodz | 2024/25:slask-wroclaw | 2025/26:arka-gdynia,Serafin Jan SzotaWidzew Łódź,1.0,1,2024/25,,Serafin Jan SzotaŚląsk Wrocław,slask-wroclaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,8.0,1.0,3.0,20.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,13.0,1700.0,12.0,857.0,0.0,233.0,317.0,12.0,63.0,12.0,0.0,1.0,8.0,0.0,99.0,0.6,0.7,0.7,4.0
Arka Gdynia,arka-gdynia,Szysz P.,matched_existing,patryk-konrad-szysz,matched_existing,patryk-konrad-szysz,already_in_player_mapping_csv,matched_existing,patryk-konrad-szysz,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Patryk Konrad SzyszArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Vitalucci H.,matched_existing,hide-kengei-vitalucci,matched_existing,hide-kengei-vitalucci,already_in_player_mapping_csv,matched_existing,hide-kengei-vitalucci,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Hide Kengei VitalucciArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Vlad A.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,,0,,unmapped_flash_player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Węglarz D.,matched_existing,damian-weglarz,matched_existing,damian-weglarz,already_in_player_mapping_csv,matched_existing,damian-weglarz,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Damian WęglarzArka Gdynia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Zacharewicz W.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,,0,,unmapped_flash_player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arka Gdynia,arka-gdynia,Zator D.,matched_existing,dominick-lukasz-zator,matched_existing,dominick-lukasz-zator,already_in_player_mapping_csv,matched_existing,dominick-lukasz-zator,existing_mapping,arka-gdynia | korona-kielce,2023/24 | 2024/25 | 2025/26,arka-gdynia,2023/24:korona-kielce | 2024/25:korona-kielce | 2025/26:arka-gdynia,Dominick Lukasz ZatorKorona Kielce,1.0,1,2024/25,,Dominick Lukasz ZatorKorona Kielce,korona-kielce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,14.0,6.0,3.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,549.0,2.0,242.0,0.0,94.0,130.0,2.0,25.0,6.0,0.0,1.0,3.0,0.0,21.0,0.7,0.4,0.0,2.0
Bruk-Bet Termalica Nieciecza,nieciecza,Ambrosiewicz M.,matched_existing,maciej-ambrosiewicz,matched_existing,maciej-ambrosiewicz,already_in_player_mapping_csv,matched_existing,maciej-ambrosiewicz,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Maciej AmbrosiewiczNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Biniek D.,matched_existing,dominik-andrzej-biniek,matched_existing,dominik-andrzej-biniek,already_in_player_mapping_csv,matched_existing,dominik-andrzej-biniek,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Dominik Andrzej BiniekNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Boboc R.,matched_existing,radu-stefanita-boboc,matched_existing,radu-stefanita-boboc,already_in_player_mapping_csv,matched_existing,radu-stefanita-boboc,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Radu Ștefăniță BobocNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Chovan A.,matched_existing,adrian-chovan,matched_existing,adrian-chovan,already_in_player_mapping_csv,matched_existing,adrian-chovan,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Adrián ChovanNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Deisadze D.,matched_existing,diego-deisadze,matched_existing,diego-deisadze,already_in_player_mapping_csv,matched_existing,diego-deisadze,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Diego DeisadzeNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Durdov I.,matched_existing,ivan-durdov,matched_existing,ivan-durdov,already_in_player_mapping_csv,matched_existing,ivan-durdov,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Ivan DurdovNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Fassbender M.,matched_existing,morgan-kwasi-fabender,matched_existing,morgan-kwasi-fabender,already_in_player_mapping_csv,matched_existing,morgan-kwasi-fabender,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Morgan Kwasi FaßbenderNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Guerrero S.,matched_existing,sergio-guerrero-romero,matched_existing,sergio-guerrero-romero,already_in_player_mapping_csv,matched_existing,sergio-guerrero-romero,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Sergio Guerrero RomeroNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Hilbrycht D.,matched_existing,damian-hilbrycht,matched_existing,damian-hilbrycht,already_in_player_mapping_csv,matched_existing,damian-hilbrycht,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Damian HilbrychtNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Isik G.,matched_existing,gabriel-isik,matched_existing,gabriel-isik,already_in_player_mapping_csv,matched_existing,gabriel-isik,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Gabriel IsikNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Jakubik W.,matched_existing,wojciech-jakubik,matched_existing,wojciech-jakubik,already_in_player_mapping_csv,matched_existing,wojciech-jakubik,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Wojciech JakubikNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Janicki M.,unresolved,,review_high_confidence,rafa-janicki,all_flash_tokens_in_slug | suffix_exact | present_in_target_season,rejected_manual,,manual_reject_wrong_person_rafa_janicki_is_not_m_janicki,,,,,,,0,,unmapped_flash_player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Jimenez J.,matched_existing,jesus-jimenez-nunez,matched_existing,jesus-jimenez-nunez,already_in_player_mapping_csv,matched_existing,jesus-jimenez-nunez,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Jesús Jiménez NúñezNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Kasperkiewicz A.,matched_existing,arkadiusz-kasperkiewicz,matched_existing,arkadiusz-kasperkiewicz,already_in_player_mapping_csv,matched_existing,arkadiusz-kasperkiewicz,existing_mapping,nieciecza,2025/26,nieciecza,2025/26:nieciecza,Arkadiusz KasperkiewiczNieciecza,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruk-Bet Termalica Nieciecza,nieciecza,Kopacz B.,matched_existing,bartosz-kopacz,matched_existing,bartosz-kopacz,already_in_player_mapping_csv,matched_existing,bartosz-kopacz,existing_mapping,nieciecza | zagebie-lubin,2023/24 | 2024/25 | 2025/26,nieciecza,2023/24:zagebie-lubin | 2024/25:zagebie-lubin | 2025/26:nieciecza,Bartosz KopaczKGHM Zagłębie Lubin,1.0,1,2024/25,,Bartosz KopaczKGHM Zagłębie Lubin,zagebie-lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,374.0,6.0,207.0,0.0,60.0,87.0,6.0,32.0,5.0,0.0,0.0,1.0,0.0,24.0,0.1,0.1,0.0,1.0
Bruk-Bet Termalica Nieciecza,nieciecza,Kozik M.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,,0,,unmapped_flash_player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
