flash_team,klub_slug,flash_name,player_slug,match_method
Legia Warszawa,legia-warszawa,Rajovic M.,mileta-rajovic,existing_mapping
Legia Warszawa,legia-warszawa,Reca A.,arkadiusz-reca,existing_mapping
Legia Warszawa,legia-warszawa,Shkurin I.,ilya-shkurin,existing_mapping
Legia Warszawa,legia-warszawa,Stojanovic P.,petar-stojanovic,existing_mapping
Legia Warszawa,legia-warszawa,Szymański D.,damian-dawid-szymanski,existing_mapping
Legia Warszawa,legia-warszawa,Tobiasz K.,kacper-tobiasz,existing_mapping
Legia Warszawa,legia-warszawa,Urbański K.,kacper-urbanski,existing_mapping
Legia Warszawa,legia-warszawa,Urbański W.,wojciech-urbanski,existing_mapping
Legia Warszawa,legia-warszawa,Vinagre R.,ruben-goncalo-da-silva-nascimento-vinagre,existing_mapping
Legia Warszawa,legia-warszawa,Weisshaupt N.,noah-raphael-weihaupt,existing_mapping
Legia Warszawa,legia-warszawa,Wszołek P.,pawe-marek-wszoek,existing_mapping
