xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,podania_gosp,podania_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,dlugie_podania_gosp,dlugie_podania_gosc,dosrodkowania_gosp,dosrodkowania_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,odbiory_gosp,odbiory_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,data_meczu_flash,kolejka_flash,url,flash_id
1.09,3.01,42,58,20,22,4,9,2,3,6,6,261,398,3,1,0,0,0.23,4.57,8,5,8,8,10,15,10,7,32,40,3,2,8,16,26,33,3,7,0.62,1.67,16,8,13,11,45,50,30,45,10,3,0,1,0,0,6,2,4.57,0.23,1.57,-0.77,2025-05-12,32,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=bNdryo6j,bNdryo6j
1.19,0.69,49,51,13,13,3,1,0,0,8,5,318,363,2,2,0,0,0.30,0.68,6,5,4,7,8,8,5,5,39,20,0,1,11,15,13,17,9,6,1.52,0.72,15,11,11,9,40,45,18,29,7,5,0,0,0,0,0,3,0.68,0.30,-0.32,0.30,2025-05-11,32,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=6PH3rTDG,6PH3rTDG
0.85,1.95,51,49,12,17,4,4,1,2,1,10,339,291,0,1,0,0,1.05,1.56,5,9,3,4,6,11,6,6,17,39,2,0,7,13,34,23,1,11,0.93,2.28,13,7,9,11,40,55,43,27,9,8,0,1,0,0,3,2,1.56,1.05,0.56,-0.95,2025-05-11,32,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/gks-katowice-K4AgRmS1/szczegoly/statystyki/?mid=OOfXqLXN,OOfXqLXN
2.96,1.06,45,55,12,11,7,5,4,1,4,2,238,298,2,1,0,0,3.21,1.09,3,3,2,3,9,7,3,4,26,20,0,1,12,11,18,30,3,2,1.57,0.93,11,12,9,23,53,58,23,22,9,10,0,1,0,0,3,4,1.09,3.21,-0.91,0.21,2025-05-11,32,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=AcOfpkq4,AcOfpkq4
0.69,2.15,46,54,13,14,2,4,1,2,6,5,247,320,3,4,1,0,0.23,2.27,6,6,5,4,9,8,4,6,24,17,3,1,16,10,24,10,6,3,0.85,0.54,10,16,9,8,51,33,12,35,5,9,0,0,0,0,2,1,2.27,0.23,0.27,-0.77,2025-05-10,32,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=pGxwcSS9,pGxwcSS9
1.04,0.89,36,64,14,16,5,3,2,1,4,5,186,398,0,0,0,0,2.04,0.94,6,7,3,6,11,8,3,8,15,22,0,2,12,7,21,21,8,5,0.83,0.96,7,12,7,8,43,34,42,15,7,7,0,0,0,0,2,3,0.94,2.04,-0.06,0.04,2025-05-10,32,https://www.flashscore.pl/mecz/pilka-nozna/widzew-lodz-rNOIW3uC/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=xWAmnBEi,xWAmnBEi
1.43,1.00,34,66,13,13,5,3,2,1,5,10,150,352,1,1,0,0,1.91,0.39,4,7,4,3,10,8,3,5,21,36,2,2,13,14,13,9,9,5,0.79,1.14,14,13,11,9,56,53,48,33,10,9,0,0,0,0,3,3,0.39,1.91,0.39,-0.09,2025-05-10,32,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=O0lUblbc,O0lUblbc
1.74,1.60,56,44,17,14,7,1,3,4,13,2,413,300,1,1,0,0,2.35,0.49,6,6,4,7,10,11,7,3,37,37,2,1,15,11,24,22,2,5,1.11,1.81,11,15,16,7,54,38,18,23,6,6,0,0,0,0,1,5,0.49,2.35,0.49,0.23,2025-05-09,32,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=f7o3vaeo,f7o3vaeo
0.91,2.97,55,45,11,18,2,8,2,4,10,4,407,324,2,1,0,0,0.93,4.07,5,3,4,7,9,14,2,4,23,27,2,2,8,16,9,24,5,2,0.65,1.34,16,8,4,10,40,55,23,31,12,11,0,0,2,0,4,1,4.07,0.93,0.07,-0.07,2025-05-09,32,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=vwGBt7rT,vwGBt7rT
1.53,0.69,40,60,21,13,3,1,2,1,3,2,238,428,0,2,0,1,0.64,0.33,12,7,6,5,14,6,7,7,32,26,2,1,10,10,19,10,10,6,0.90,0.76,10,10,7,13,52,49,25,26,15,5,0,1,0,0,0,1,0.33,0.64,-0.67,-1.36,2025-05-05,31,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=nNovlCSs,nNovlCSs
