xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,podania_gosp,podania_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,dlugie_podania_gosp,dlugie_podania_gosc,dosrodkowania_gosp,dosrodkowania_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,odbiory_gosp,odbiory_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,data_meczu_flash,kolejka_flash,url,flash_id,gosp_nazwa,gosc_nazwa
1.43,1.0,34,66,13,13,5,3,2.0,1.0,5,10,150.0,352.0,1,1,0,0,1.91,0.39,4,7,4.0,3.0,10.0,8.0,3.0,5.0,21.0,36.0,2.0,2.0,13.0,14.0,13.0,9.0,9.0,5.0,0.79,1.14,14,13,11.0,9.0,56.0,53.0,48.0,33.0,10.0,9.0,0,0,0,0,3,3,0.39,1.91,0.39,-0.09,2025-05-10,32,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=O0lUblbc,O0lUblbc,RAD 2-0 POG | Radomiak Radom,Pogoń Szczecin
1.74,1.6,56,44,17,14,7,1,3.0,4.0,13,2,413.0,300.0,1,1,0,0,2.35,0.49,6,6,4.0,7.0,10.0,11.0,7.0,3.0,37.0,37.0,2.0,1.0,15.0,11.0,24.0,22.0,2.0,5.0,1.11,1.81,11,15,16.0,7.0,54.0,38.0,18.0,23.0,6.0,6.0,0,0,0,0,1,5,0.49,2.35,0.49,0.23,2025-05-09,32,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=f7o3vaeo,f7o3vaeo,GOR 2-0 SLA | Górnik Zabrze,Śląsk Wrocław
0.91,2.97,55,45,11,18,2,8,2.0,4.0,10,4,407.0,324.0,2,1,0,0,0.93,4.07,5,3,4.0,7.0,9.0,14.0,2.0,4.0,23.0,27.0,2.0,2.0,8.0,16.0,9.0,24.0,5.0,2.0,0.65,1.34,16,8,4.0,10.0,40.0,55.0,23.0,31.0,12.0,11.0,0,0,2,0,4,1,4.07,0.93,0.07,-0.07,2025-05-09,32,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=vwGBt7rT,vwGBt7rT,MOT 1-4 PIA | Motor Lublin,Piast Gliwice
1.53,0.69,40,60,21,13,3,1,2.0,1.0,3,2,238.0,428.0,0,2,0,1,0.64,0.33,12,7,6.0,5.0,14.0,6.0,7.0,7.0,32.0,26.0,2.0,1.0,10.0,10.0,19.0,10.0,10.0,6.0,0.9,0.76,10,10,7.0,13.0,52.0,49.0,25.0,26.0,15.0,5.0,0,1,0,0,0,1,0.33,0.64,-0.67,-1.36,2025-05-05,31,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=nNovlCSs,nNovlCSs,KOR 2-1 KAT | Korona Kielce,GKS Katowice
2.84,0.52,52,48,24,8,5,4,3.0,1.0,5,6,342.0,300.0,1,2,0,0,1.2,0.37,13,0,6.0,4.0,21.0,2.0,4.0,6.0,57.0,10.0,0.0,0.0,10.0,12.0,23.0,38.0,6.0,2.0,2.24,0.37,12,10,10.0,15.0,56.0,50.0,11.0,29.0,15.0,12.0,0,0,0,0,3,4,0.37,1.2,-0.63,0.2,2025-05-04,31,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=ji08gY4K,ji08gY4K,JAG 1-1 GOR | Jagiellonia Białystok,Górnik Zabrze
0.69,1.31,55,45,8,11,2,4,1.0,2.0,4,5,351.0,277.0,1,0,0,0,0.23,1.71,4,5,2.0,2.0,5.0,3.0,3.0,8.0,13.0,22.0,1.0,0.0,13.0,7.0,28.0,22.0,3.0,0.0,0.78,0.35,7,13,12.0,6.0,57.0,43.0,22.0,18.0,3.0,12.0,0,0,0,0,2,2,1.71,0.23,-0.29,0.23,2025-05-04,31,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=zqILVUCD,zqILVUCD,CRA 0-2 GDA | Cracovia,Lechia Gdańsk
0.38,0.68,50,50,12,7,3,2,0.0,1.0,9,6,288.0,272.0,2,0,0,0,0.93,0.42,6,3,3.0,2.0,8.0,4.0,4.0,3.0,28.0,8.0,4.0,1.0,12.0,11.0,25.0,26.0,5.0,3.0,0.57,0.54,11,12,11.0,1.0,45.0,46.0,24.0,27.0,8.0,3.0,0,0,0,0,2,3,0.42,0.93,0.42,0.93,2025-05-04,31,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=Ek5mpUR6,Ek5mpUR6,PIA 0-0 RAD | Piast Gliwice,Radomiak Radom
2.91,0.87,66,34,15,14,8,9,5.0,1.0,3,7,532.0,227.0,0,0,0,0,5.19,2.68,5,3,2.0,2.0,11.0,8.0,4.0,6.0,22.0,14.0,1.0,2.0,8.0,5.0,13.0,25.0,2.0,8.0,1.29,0.79,5,8,6.0,8.0,34.0,28.0,23.0,15.0,6.0,12.0,0,0,0,0,8,0,2.68,5.19,1.68,-2.81,2025-05-03,31,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/puszcza-dtqx13O8/szczegoly/statystyki/?mid=6P1unjcf,6P1unjcf,LEC 8-1 PUS | Lech Poznań,Puszcza Niepołomice
1.54,1.53,46,54,13,18,6,9,2.0,2.0,2,11,294.0,329.0,4,2,0,0,1.83,2.1,1,3,6.0,6.0,9.0,11.0,4.0,7.0,18.0,27.0,2.0,1.0,7.0,7.0,15.0,27.0,2.0,5.0,0.96,0.92,7,7,5.0,12.0,40.0,53.0,32.0,28.0,13.0,8.0,0,0,1,0,8,3,2.1,1.83,1.1,-1.17,2025-05-03,31,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=Sd1Oos3B,Sd1Oos3B,SLA 3-1 ZAG | Śląsk Wrocław,Zagłębie Lubin
0.72,0.97,42,58,5,15,1,7,1.0,3.0,1,12,233.0,383.0,0,0,0,0,0.26,1.16,3,3,1.0,5.0,5.0,9.0,0.0,6.0,10.0,23.0,1.0,3.0,10.0,5.0,15.0,23.0,4.0,10.0,0.63,0.68,5,10,13.0,6.0,41.0,30.0,17.0,18.0,5.0,7.0,0,0,0,0,5,1,1.16,0.26,-0.84,0.26,2025-05-03,31,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=0pA7kP3n,0pA7kP3n,STA 0-2 RAK | Stal Mielec,Raków Częstochowa
