xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,zk_gosp,zk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,czk_gosc,czk_gosp,data_meczu_flash,kolejka_flash,url,flash_id,podania_sk_gosp,podania_wszy_gosp,podania_sk_gosc,podania_wszy_gosc,dl_pod_sk_gosp,dl_pod_wszy_gosp,dl_pod_sk_gosc,dl_pod_wszy_gosc,pod_strefa_sk_gosp,pod_strefa_wszy_gosp,pod_strefa_sk_gosc,pod_strefa_wszy_gosc,dosrod_sk_gosp,dosrod_wszy_gosp,dosrod_sk_gosc,dosrod_wszy_gosc,odbiory_sk_gosp,odbiory_wszy_gosp,odbiory_sk_gosc,odbiory_wszy_gosc,gospodarz,gosc
1.35,0.3,60.0,40.0,17.0,6.0,4.0,1.0,2.0,0.0,5.0,4.0,5,4,0.32,0.09,7.0,4.0,6.0,1.0,10.0,3.0,7.0,3.0,25.0,19.0,0.0,2.0,7.0,12.0,1.19,0.44,12.0,7.0,56.0,57.0,23.0,44.0,5.0,8.0,0,0,0,0,1.0,4.0,0.09,0.32,0.09,0.32,1,0,2026-05-11,32.0,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=Imegufvn,Imegufvn,346,427,207,296,23,50,7,57,122.0,164.0,53.0,93.0,6.0,29.0,3.0,12.0,8,12,9,14,CRA,RAD
0.81,0.51,59.0,41.0,10.0,6.0,4.0,1.0,2.0,1.0,6.0,1.0,2,1,0.47,0.73,5.0,4.0,1.0,1.0,7.0,5.0,3.0,1.0,38.0,12.0,3.0,3.0,17.0,14.0,1.21,0.76,14.0,17.0,58.0,54.0,13.0,37.0,5.0,10.0,0,1,0,0,0.0,4.0,0.73,0.47,-0.27,0.47,0,0,2026-05-10,32.0,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=IkjZZb26,IkjZZb26,406,514,290,361,26,65,25,58,107.0,164.0,67.0,98.0,11.0,29.0,4.0,11.0,12,15,4,13,LEG,BBT
1.61,1.56,56.0,44.0,22.0,17.0,4.0,6.0,1.0,2.0,7.0,6.0,2,2,0.83,1.94,7.0,7.0,11.0,4.0,14.0,15.0,8.0,2.0,31.0,29.0,0.0,1.0,12.0,12.0,1.41,0.97,12.0,12.0,52.0,41.0,14.0,21.0,7.0,5.0,0,0,0,0,2.0,4.0,1.94,0.83,-2.06,0.83,0,0,2026-05-10,32.0,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=dz2QyLXg,dz2QyLXg,287,356,220,276,24,53,18,38,78.0,104.0,42.0,64.0,12.0,29.0,7.0,19.0,10,14,9,11,MOT,WPL
1.03,0.96,61.0,39.0,18.0,8.0,3.0,4.0,1.0,2.0,4.0,3.0,2,1,0.33,1.68,6.0,2.0,9.0,2.0,9.0,4.0,9.0,4.0,35.0,12.0,3.0,0.0,13.0,14.0,0.99,0.64,14.0,13.0,38.0,51.0,12.0,31.0,8.0,7.0,0,0,0,0,4.0,3.0,1.68,0.33,1.68,0.33,0,0,2026-05-10,32.0,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=O8tlUTVp,O8tlUTVp,371,470,214,301,27,65,23,70,92.0,139.0,34.0,67.0,4.0,19.0,3.0,12.0,5,8,10,16,GKS,PIA
1.56,1.26,64.0,36.0,25.0,13.0,5.0,6.0,2.0,1.0,15.0,4.0,0,1,0.73,1.86,11.0,6.0,9.0,1.0,15.0,9.0,10.0,4.0,46.0,19.0,0.0,2.0,7.0,10.0,1.63,0.72,10.0,7.0,51.0,64.0,11.0,47.0,3.0,8.0,0,0,0,0,4.0,5.0,1.86,0.73,-0.14,0.73,0,0,2026-05-09,32.0,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=46lsYxXI,46lsYxXI,429,492,211,280,21,46,21,45,176.0,216.0,48.0,69.0,10.0,42.0,5.0,15.0,8,19,6,18,GOR,ZAG
2.09,0.96,57.0,43.0,20.0,10.0,14.0,3.0,3.0,1.0,7.0,0.0,1,0,3.36,1.47,3.0,3.0,3.0,4.0,11.0,7.0,9.0,3.0,43.0,15.0,3.0,0.0,19.0,17.0,1.21,0.46,17.0,19.0,52.0,52.0,12.0,26.0,17.0,10.0,0,2,1,0,1.0,11.0,1.47,3.36,-0.53,0.4,0,0,2026-05-09,32.0,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=vy5HZk8N,vy5HZk8N,399,472,293,360,18,50,22,51,96.0,129.0,56.0,87.0,5.0,22.0,4.0,14.0,8,13,6,13,JAG,POG
1.85,0.99,52.0,48.0,18.0,11.0,4.0,2.0,3.0,0.0,2.0,2.0,4,2,1.87,0.37,10.0,7.0,4.0,2.0,13.0,7.0,5.0,4.0,31.0,23.0,0.0,0.0,15.0,11.0,1.44,0.96,11.0,15.0,58.0,54.0,32.0,24.0,9.0,4.0,0,0,0,0,1.0,1.0,0.37,1.87,-0.63,-1.13,0,1,2026-05-09,32.0,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=jFYZiXNi,jFYZiXNi,343,429,297,391,22,54,16,53,85.0,123.0,95.0,142.0,7.0,19.0,5.0,20.0,9,14,12,23,LGD,WID
1.82,0.71,81.0,19.0,25.0,7.0,7.0,3.0,3.0,1.0,15.0,5.0,1,4,1.67,0.43,11.0,3.0,7.0,1.0,19.0,5.0,7.0,2.0,63.0,16.0,0.0,0.0,13.0,7.0,3.49,0.64,7.0,13.0,39.0,37.0,10.0,62.0,3.0,12.0,0,0,0,0,1.0,6.0,0.43,1.67,-0.57,0.67,0,0,2026-05-08,32.0,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=j1g1wY8b,j1g1wY8b,574,661,91,159,16,30,18,57,213.0,272.0,21.0,55.0,10.0,45.0,4.0,11.0,2,10,12,16,ARK,LPO
0.9,1.43,50.0,50.0,14.0,11.0,5.0,3.0,1.0,1.0,6.0,2.0,1,2,0.91,0.13,4.0,6.0,5.0,2.0,9.0,6.0,5.0,5.0,33.0,16.0,2.0,0.0,16.0,9.0,0.94,1.24,9.0,16.0,65.0,49.0,27.0,32.0,9.0,5.0,2,0,0,0,3.0,3.0,0.13,0.91,0.13,-1.09,0,0,2026-05-08,32.0,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=nTnAyCwB,nTnAyCwB,348,431,359,445,27,59,26,60,104.0,149.0,82.0,117.0,5.0,22.0,2.0,15.0,10,16,13,27,KOR,RCZ
1.06,2.45,34.0,66.0,13.0,27.0,5.0,7.0,1.0,6.0,4.0,7.0,1,2,1.29,2.22,4.0,13.0,4.0,7.0,8.0,17.0,5.0,10.0,12.0,39.0,0.0,3.0,9.0,10.0,0.23,1.62,10.0,9.0,49.0,48.0,41.0,13.0,9.0,5.0,0,0,0,1,6.0,2.0,2.22,1.29,1.22,-1.71,0,1,2026-05-04,31.0,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=z7YrPsll,z7YrPsll,171,252,403,469,18,57,15,30,29.0,71.0,181.0,217.0,3.0,9.0,12.0,46.0,8,13,7,11,LGD,RAD
