match_id,gospodarz,gosc,gole_gosp,gole_gosc,data_meczu,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,kolejka,xg_gosp,xg_gosc,posiadanie_gosp_flash,posiadanie_gosc_flash,strzaly_gosp_flash,strzaly_gosc_flash,celne_gosp_flash,celne_gosc_flash,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp_flash,rozne_gosc_flash,zk_gosp_flash,zk_gosc_flash,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp_flash,strzaly_niecelne_gosc_flash,strzaly_zablokowane_gosp_flash,strzaly_zablokowane_gosc_flash,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp_flash,spalone_gosc_flash,rzuty_wolne_gosp,rzuty_wolne_gosc,xa_gosp,xa_gosc,faule_gosp_flash,faule_gosc_flash,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,czk_gosc_flash,czk_gosp_flash,data_meczu_flash,kolejka_flash,url,flash_id,podania_sk_gosp,podania_wszy_gosp,podania_sk_gosc,podania_wszy_gosc,dl_pod_sk_gosp,dl_pod_wszy_gosp,dl_pod_sk_gosc,dl_pod_wszy_gosc,pod_strefa_sk_gosp,pod_strefa_wszy_gosp,pod_strefa_sk_gosc,pod_strefa_wszy_gosc,dosrod_sk_gosp,dosrod_wszy_gosp,dosrod_sk_gosc,dosrod_wszy_gosc,odbiory_sk_gosp,odbiory_wszy_gosp,odbiory_sk_gosc,odbiory_wszy_gosc,gosp_nazwa,gosc_nazwa,gosp_kod,gosc_kod
2458,POG,CRA,2,1,2025-10-25,56.2,43.8,11.0,17.0,3.0,7.0,3.0,5.0,5.0,5.0,8.0,3.0,10.0,13.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,23.0,23.0,4.0,6.0,10.0,6.0,450.0,349.0,345.0,253.0,13,1.14,2.27,56.0,44.0,11.0,17.0,3.0,7.0,3.0,3.0,8.0,3.0,2.0,4.0,0.82,1.49,5.0,5.0,3.0,5.0,9.0,12.0,2.0,5.0,20.0,33.0,2.0,0.0,13.0,10.0,0.74,1.21,10.0,13.0,51.0,60.0,38.0,41.0,5.0,8.0,1.0,0.0,0.0,0.0,6.0,1.0,1.49,0.82,0.49,-1.18,0.0,0.0,2025-10-25,13.0,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=tvSkQMJk,tvSkQMJk,347.0,449.0,254.0,354.0,29.0,75.0,19.0,53.0,49.0,100.0,86.0,140.0,5.0,24.0,5.0,22.0,10.0,15.0,5.0,13.0,POG 2-1 CRA | Pogoń Szczecin,Cracovia,POG,CRA
2459,GKS,KOR,1,0,2025-10-25,40.3,59.7,14.0,14.0,4.0,3.0,5.0,6.0,5.0,5.0,3.0,3.0,16.0,8.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,12.0,18.0,5.0,2.0,11.0,3.0,276.0,407.0,189.0,314.0,13,1.11,1.73,40.0,60.0,14.0,14.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,1.19,0.04,5.0,4.0,5.0,7.0,9.0,10.0,5.0,4.0,17.0,33.0,2.0,1.0,8.0,16.0,0.81,1.54,16.0,8.0,54.0,51.0,55.0,20.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,0.04,1.19,0.04,0.19,0.0,0.0,2025-10-25,13.0,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=l4VcO0l2,l4VcO0l2,189.0,276.0,318.0,407.0,19.0,53.0,30.0,65.0,48.0,79.0,77.0,123.0,4.0,12.0,3.0,18.0,11.0,19.0,5.0,12.0,KAT 1-0 KOR | GKS Katowice,Korona Kielce,GKS,KOR
2460,RCZ,LGD,2,1,2025-10-26,42.5,57.5,10.0,10.0,4.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,17.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,18.0,22.0,4.0,2.0,11.0,12.0,312.0,428.0,246.0,347.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,WPŁ,POG,2,0,2025-11-03,31.7,68.3,15.0,22.0,5.0,9.0,4.0,5.0,6.0,8.0,6.0,8.0,5.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,38.0,6.0,7.0,5.0,7.0,280.0,628.0,197.0,554.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,BBT,GKS,0,3,2025-10-31,65.6,34.4,18.0,11.0,7.0,7.0,5.0,1.0,6.0,3.0,7.0,2.0,13.0,18.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,37.0,5.0,7.0,0.0,5.0,10.0,507.0,277.0,425.0,201.0,14,1.64,2.48,66.0,34.0,18.0,11.0,7.0,7.0,5.0,3.0,7.0,2.0,1.0,2.0,1.11,2.76,6.0,3.0,5.0,1.0,12.0,6.0,6.0,5.0,27.0,18.0,1.0,4.0,18.0,13.0,2.02,0.65,13.0,18.0,59.0,52.0,13.0,35.0,13.0,6.0,0.0,1.0,0.0,0.0,4.0,6.0,2.76,1.11,-0.24,1.11,0.0,0.0,2025-10-31,14.0,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=fshPvMYr,fshPvMYr,425.0,507.0,201.0,277.0,30.0,57.0,18.0,55.0,123.0,160.0,36.0,66.0,7.0,37.0,0.0,5.0,5.0,8.0,10.0,17.0,BBT 0-3 KAT | Bruk-Bet T.,GKS Katowice,BBT,GKS
2463,LGD,RAD,1,2,2025-11-03,47.0,53.0,14.0,11.0,4.0,5.0,5.0,4.0,5.0,2.0,8.0,4.0,11.0,12.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,30.0,12.0,7.0,3.0,7.0,10.0,338.0,404.0,257.0,321.0,14,1.4,1.37,47.0,53.0,14.0,11.0,4.0,5.0,3.0,2.0,8.0,4.0,2.0,4.0,0.87,1.61,5.0,2.0,5.0,4.0,10.0,7.0,4.0,4.0,30.0,19.0,2.0,1.0,12.0,11.0,1.52,0.46,11.0,12.0,57.0,72.0,23.0,50.0,13.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,1.61,0.87,-0.39,-0.13,0.0,0.0,2025-11-03,14.0,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=SfjXx03e,SfjXx03e,257.0,338.0,321.0,404.0,16.0,43.0,23.0,50.0,65.0,100.0,56.0,91.0,7.0,30.0,3.0,12.0,7.0,18.0,10.0,17.0,GDA 1-2 RAD | Lechia Gdańsk,Radomiak Radom,LGD,RAD
2464,GÓR,ARK,5,1,2025-11-02,52.8,47.2,29.0,8.0,11.0,2.0,8.0,1.0,10.0,5.0,10.0,2.0,9.0,10.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,13.0,10.0,3.0,2.0,4.0,4.0,400.0,359.0,349.0,302.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465,CRA,ZAG,0,0,2025-11-03,68.2,31.8,14.0,8.0,3.0,3.0,3.0,0.0,8.0,5.0,2.0,0.0,11.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,7.0,7.0,2.0,8.0,17.0,638.0,300.0,540.0,202.0,14,1.3,0.22,68.0,32.0,14.0,8.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.68,0.23,8.0,5.0,3.0,0.0,8.0,5.0,6.0,3.0,24.0,14.0,3.0,0.0,11.0,11.0,1.48,0.24,11.0,11.0,65.0,57.0,28.0,40.0,10.0,14.0,0.0,0.0,0.0,0.0,3.0,3.0,0.23,1.68,0.23,1.68,0.0,0.0,2025-11-03,14.0,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=jTySbsQE,jTySbsQE,544.0,644.0,201.0,299.0,21.0,49.0,29.0,74.0,129.0,181.0,34.0,82.0,7.0,30.0,2.0,7.0,10.0,16.0,18.0,22.0,CRA 0-0 ZAG | Cracovia,Zagłębie Lubin,CRA,ZAG
2466,LPO,MOT,2,2,2025-11-02,59.6,40.4,18.0,8.0,3.0,2.0,7.0,1.0,8.0,5.0,6.0,2.0,10.0,15.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,30.0,12.0,5.0,2.0,10.0,13.0,562.0,380.0,474.0,311.0,14,1.17,0.89,59.0,41.0,19.0,8.0,4.0,2.0,0.0,1.0,6.0,2.0,2.0,1.0,1.38,0.65,8.0,5.0,7.0,1.0,9.0,7.0,10.0,1.0,45.0,16.0,1.0,2.0,15.0,10.0,1.55,1.12,10.0,15.0,49.0,43.0,12.0,51.0,11.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,0.65,1.38,-0.35,-0.62,0.0,0.0,2025-11-02,14.0,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=CrQzcLfR,CrQzcLfR,475.0,563.0,314.0,383.0,29.0,47.0,13.0,41.0,181.0,240.0,40.0,60.0,4.0,29.0,2.0,12.0,10.0,13.0,13.0,21.0,LEC 2-2 MOT | Lech Poznań,Motor Lublin,LPO,MOT
2467,JAG,RCZ,1,2,2025-11-02,67.0,33.0,26.0,10.0,6.0,5.0,11.0,2.0,9.0,3.0,5.0,4.0,19.0,17.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,23.0,11.0,11.0,6.0,6.0,7.0,500.0,249.0,418.0,179.0,14,2.04,1.21,67.0,33.0,26.0,11.0,6.0,5.0,3.0,1.0,5.0,4.0,5.0,2.0,1.68,1.89,10.0,3.0,10.0,3.0,17.0,7.0,9.0,4.0,38.0,30.0,0.0,1.0,17.0,19.0,1.79,1.03,19.0,17.0,55.0,56.0,17.0,28.0,2.0,14.0,1.0,0.0,0.0,0.0,3.0,5.0,1.89,1.68,-0.11,0.68,0.0,0.0,2025-11-02,14.0,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=MHB6iaIl,MHB6iaIl,420.0,502.0,178.0,248.0,23.0,39.0,27.0,60.0,127.0,167.0,58.0,100.0,10.0,22.0,5.0,10.0,6.0,15.0,8.0,12.0,JAG 1-2 RAK | Jagiellonia Białystok,Raków Częstochowa,JAG,RCZ
2468,PIA,KOR,0,0,2025-10-31,49.2,50.8,10.0,20.0,2.0,4.0,2.0,5.0,6.0,11.0,7.0,9.0,13.0,8.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,26.0,21.0,5.0,5.0,11.0,7.0,387.0,406.0,290.0,317.0,14,0.59,1.24,49.0,51.0,10.0,20.0,2.0,4.0,0.0,0.0,7.0,9.0,2.0,1.0,0.12,0.78,6.0,10.0,2.0,6.0,7.0,12.0,3.0,8.0,26.0,26.0,0.0,1.0,8.0,13.0,0.6,0.86,13.0,8.0,50.0,51.0,29.0,52.0,13.0,8.0,1.0,0.0,0.0,0.0,4.0,2.0,0.78,0.12,0.78,0.12,0.0,1.0,2025-10-31,14.0,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=Iq5Fkwm1,Iq5Fkwm1,289.0,385.0,320.0,410.0,23.0,59.0,27.0,54.0,63.0,102.0,83.0,122.0,5.0,26.0,5.0,21.0,11.0,17.0,7.0,14.0,PIA 0-0 KOR | Piast Gliwice,Korona Kielce,PIA,KOR
2469,WID,LEG,1,1,2025-11-02,41.6,58.4,10.0,20.0,3.0,3.0,5.0,11.0,2.0,6.0,3.0,8.0,10.0,13.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,33.0,0.0,4.0,10.0,13.0,329.0,442.0,274.0,391.0,14,1.4,1.74,42.0,58.0,10.0,20.0,3.0,3.0,2.0,3.0,3.0,8.0,3.0,3.0,1.05,1.01,2.0,6.0,5.0,11.0,8.0,11.0,2.0,9.0,21.0,42.0,3.0,0.0,13.0,10.0,0.83,1.32,10.0,13.0,48.0,48.0,40.0,25.0,7.0,7.0,1.0,1.0,0.0,0.0,3.0,2.0,1.01,1.05,0.01,0.05,0.0,0.0,2025-11-02,14.0,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=8YX7eTzK,8YX7eTzK,274.0,329.0,391.0,442.0,15.0,45.0,16.0,31.0,47.0,78.0,148.0,183.0,0.0,9.0,4.0,33.0,10.0,18.0,13.0,18.0,WID 1-1 LEG | Widzew Łódź,Legia Warszawa,WID,LEG
