flash_team,flash_name,expected_klub_slug,current_status,existing_player_slug,proposed_status,proposed_player_slug,evidence,candidate_count,top1_score,top1_relation,top1_clubs,top1_seasons,top1_path,top2_player_slug,top2_score,gap_top1_top2
Cracovia,Skovgaard A.,cracovia,unresolved,,auto_same_club_history,andreas-skovgaard-larsen,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,105.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Smiglewski K.,cracovia,unresolved,,auto_same_club_history,kacper-smiglewski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Sokołowski P.,cracovia,unresolved,,auto_same_club_history,patryk-sokoowski,all_flash_tokens_in_slug_slugstyle | suffix_exact_slugstyle | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia | legia-warszawa,2023/24 | 2024/25,2023/24:legia-warszawa | 2024/25:cracovia,,,999.0
Cracovia,Wójcik O.,cracovia,unresolved,,auto_same_club_history,oskar-wojcik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,2,125.0,same_club_target_season,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,filip-wojcik,94,31.0
Cracovia,van Buren M.,cracovia,unresolved,,auto_same_club_history,mick-van-buren,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2024/25,2024/25:cracovia,,,999.0
GKS Katowice,Antczak J.,gks-katowice,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
GKS Katowice,Arak J.,gks-katowice,unresolved,,auto_same_club_history,jakub-arak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25,2024/25:gks-katowice,,,999.0
GKS Katowice,Baranowicz B.,gks-katowice,unresolved,,auto_same_club_history,bartosz-baranowicz,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25,2024/25:gks-katowice,,,999.0
GKS Katowice,Bergier S.,gks-katowice,unresolved,,auto_same_club_history,sebastian-bergier,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice | widzew-lodz,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:widzew-lodz,,,999.0
GKS Katowice,Bród A.,gks-katowice,unresolved,,auto_same_club_history,alan-brod,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,,,999.0
GKS Katowice,Błąd A.,gks-katowice,unresolved,,auto_same_club_history,adrian-bad,all_flash_tokens_in_slug_slugstyle | suffix_exact_slugstyle | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,,,999.0
GKS Katowice,Czerwiński A.,gks-katowice,unresolved,,auto_same_club_history,alan-czerwinski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,2,125.0,same_club_target_season,gks-katowice | lech-poznan,2023/24 | 2024/25 | 2025/26,2023/24:lech-poznan | 2024/25:gks-katowice | 2025/26:gks-katowice,jakub-czerwinski,94,31.0
