flash_team,expected_klub_slug,flash_name,candidate_player_slug,candidate_klub_slug,candidate_season,relation,score,reasons,candidate_nazwa
GKS Katowice,gks-katowice,Jaroszek B.,bartosz-jaroszek,gks-katowice,2024/25,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:jaroszek | token_overlap_slug:jaroszek | sim>=0.92:1.000 | initial_match | same_club_bonus,Bartosz JaroszekGKS Katowice
GKS Katowice,gks-katowice,Jirka E.,erik-jirka,piast-gliwice,2025/26,same_season_other_club,106,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:jirka | token_overlap_slug:jirka | sim>=0.92:1.000 | initial_match | same_season_bonus,Erik JirkaPiast Gliwice
GKS Katowice,gks-katowice,Jirka E.,erik-jirka,piast-gliwice,2024/25,past_season_other_club,104,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:jirka | token_overlap_slug:jirka | sim>=0.92:1.000 | initial_match,Erik JirkaPiast Gliwice
GKS Katowice,gks-katowice,Marzec M.,mateusz-marzec,gks-katowice,2024/25,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:marzec | token_overlap_slug:marzec | sim>=0.92:1.000 | initial_match | same_club_bonus,Mateusz MarzecGKS Katowice
GKS Katowice,gks-katowice,Pankowski W.,kamil-dankowski,lks-lodz,2023/24,past_season_other_club,84,sim>=0.85:0.889,Kamil DankowskiŁKS Łódź
GKS Katowice,gks-katowice,Pankowski W.,kamil-pajnowski,stal-mielec,2023/24,past_season_other_club,84,sim>=0.85:0.889,Kamil PajnowskiStal Mielec
GKS Katowice,gks-katowice,Pankowski W.,tomasz-makowski,zagebie-lubin,2025/26,same_season_other_club,80,sim>=0.78:0.824 | same_season_bonus,Tomasz MakowskiKGHM Zagłębie Lubin
GKS Katowice,gks-katowice,Pankowski W.,artur-plaskowski,ruch-chorzow,2023/24,past_season_other_club,78,sim>=0.78:0.842,Artur PląskowskiRuch Chorzów
GKS Katowice,gks-katowice,Pankowski W.,jakub-paszkowski,warta-poznan,2023/24,past_season_other_club,78,sim>=0.78:0.842,Jakub PaszkowskiWarta Poznań
GKS Katowice,gks-katowice,Pankowski W.,tomasz-makowski,zagebie-lubin,2023/24,past_season_other_club,78,sim>=0.78:0.824,Tomasz MakowskiKGHM Zagłębie Lubin
GKS Katowice,gks-katowice,Pankowski W.,tomasz-makowski,zagebie-lubin,2024/25,past_season_other_club,78,sim>=0.78:0.824,Tomasz MakowskiKGHM Zagłębie Lubin
GKS Katowice,gks-katowice,Shkurin I.,ilya-shkurin,legia-warszawa,2025/26,same_season_other_club,106,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:shkurin | token_overlap_slug:shkurin | sim>=0.92:1.000 | initial_match | same_season_bonus,Ilya ShkurinLegia Warszawa
GKS Katowice,gks-katowice,Shkurin I.,ilya-shkurin,stal-mielec,2023/24,past_season_other_club,104,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:shkurin | token_overlap_slug:shkurin | sim>=0.92:1.000 | initial_match,Ilya ShkurinStal Mielec
GKS Katowice,gks-katowice,Shkurin I.,ilya-shkurin,legia-warszawa,2024/25,past_season_other_club,104,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:shkurin | token_overlap_slug:shkurin | sim>=0.92:1.000 | initial_match,Ilya ShkurinLegia Warszawa
GKS Katowice,gks-katowice,Swatowski M.,pawe-kwiatkowski,widzew-lodz,2023/24,past_season_other_club,78,sim>=0.78:0.800,Paweł KwiatkowskiWidzew Łódź
GKS Katowice,gks-katowice,Swatowski M.,pawe-kwiatkowski,widzew-lodz,2024/25,past_season_other_club,78,sim>=0.78:0.800,Paweł KwiatkowskiWidzew Łódź
GKS Katowice,gks-katowice,Trepka L.,oskar-repka,gks-katowice,2024/25,past_season_same_club,87,sim>=0.85:0.909 | same_club_bonus,Oskar RepkaGKS Katowice
GKS Katowice,gks-katowice,Trepka L.,oskar-repka,rakow-czestochowa,2025/26,same_season_other_club,86,sim>=0.85:0.909 | same_season_bonus,Oskar RepkaRaków Częstochowa
GKS Katowice,gks-katowice,Wdowiak M.,mateusz-wdowiak,zagebie-lubin,2025/26,same_season_other_club,106,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:wdowiak | token_overlap_slug:wdowiak | sim>=0.92:1.000 | initial_match | same_season_bonus,Mateusz WdowiakKGHM Zagłębie Lubin
GKS Katowice,gks-katowice,Wdowiak M.,mateusz-wdowiak,zagebie-lubin,2023/24,past_season_other_club,104,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:wdowiak | token_overlap_slug:wdowiak | sim>=0.92:1.000 | initial_match,Mateusz WdowiakKGHM Zagłębie Lubin
GKS Katowice,gks-katowice,Wdowiak M.,mateusz-wdowiak,zagebie-lubin,2024/25,past_season_other_club,104,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:wdowiak | token_overlap_slug:wdowiak | sim>=0.92:1.000 | initial_match,Mateusz WdowiakKGHM Zagłębie Lubin
GKS Katowice,gks-katowice,Wdowiak M.,bartomiej-wdowik,jagiellonia-bialystok,2025/26,same_season_other_club,92,sim>=0.92:0.923 | same_season_bonus,Bartłomiej WdowikJagiellonia Białystok
GKS Katowice,gks-katowice,Wdowiak M.,bartomiej-wdowik,jagiellonia-bialystok,2023/24,past_season_other_club,90,sim>=0.92:0.923,Bartłomiej WdowikJagiellonia Białystok
Górnik Zabrze,gornik-zabrze,Rakoczy M.,micha-miosz-rakoczy,cracovia,2025/26,same_season_other_club,98,last_token_exact | last_token_slugstyle | token_overlap_ascii:rakoczy | token_overlap_slug:rakoczy | initial_match | same_season_bonus,Michał Miłosz RakoczyCracovia
Górnik Zabrze,gornik-zabrze,Rakoczy M.,micha-miosz-rakoczy,cracovia,2023/24,past_season_other_club,96,last_token_exact | last_token_slugstyle | token_overlap_ascii:rakoczy | token_overlap_slug:rakoczy | initial_match,Michał Miłosz RakoczyCracovia
Górnik Zabrze,gornik-zabrze,Rakoczy M.,micha-miosz-rakoczy,cracovia,2024/25,past_season_other_club,96,last_token_exact | last_token_slugstyle | token_overlap_ascii:rakoczy | token_overlap_slug:rakoczy | initial_match,Michał Miłosz RakoczyCracovia
Jagiellonia Białystok,jagiellonia-bialystok,Costa S. T.,tomas-costa-silva,jagiellonia-bialystok,2024/25,past_season_same_club,93,token_overlap_ascii:costa | token_overlap_slug:costa | initial_match | same_club_bonus,Tomás SilvaJagiellonia Białystok
Jagiellonia Białystok,jagiellonia-bialystok,Costa S. T.,fabio-ronaldo-da-costa-conceicao,motor-lublin,2025/26,same_season_other_club,88,token_overlap_ascii:costa | token_overlap_slug:costa | same_season_bonus,Fábio RonaldoMotor Lublin
