kolejka,gospodarz,gosc,wynik_1x2,p_home,p_draw,p_away,log_loss
3,Bruk-Bet Termalica Nieciecza,Pogoń Szczecin,D,0.5291128260485909,0.2348069178934523,0.2360802560579569,1.4489917285429161
3,Legia Warszawa,Arka Gdynia,D,0.7101303346287099,0.20092611172879307,0.08894355364249718,1.6048180418450697
3,Motor Lublin,Jagiellonia Białystok,D,0.34218020219305995,0.22902119228948906,0.4287986055174511,1.4739407369608528
3,Zagłębie Lubin,Korona Kielce,D,0.39211577192954755,0.28226044444526616,0.3256237836251863,1.2649250724022272
3,Radomiak Radom,Raków Częstochowa,H,0.3004497499640711,0.2853979803880821,0.41415226964784657,1.2024747604073356
3,Cracovia,Lechia Gdańsk,D,0.5377977352262694,0.22870572060080915,0.23349654417292154,1.475319164707822
3,Lech Poznań,Górnik Zabrze,H,0.5184332053970995,0.253066467490629,0.22850032711227147,0.6569440823744697
3,Widzew Łódź,GKS Katowice,H,0.4410994287396609,0.25763560631311544,0.30126496494722377,0.818484966953331
4,Arka Gdynia,Pogoń Szczecin,H,0.16502105579341736,0.27203560640962493,0.5629433377969578,1.8016822023539347
4,Legia Warszawa,GKS Katowice,H,0.6061328153507353,0.20436079912459865,0.18950638552466614,0.500656149681017
4,Lechia Gdańsk,Motor Lublin,D,0.3802581685421761,0.23204416190620164,0.3876976695516225,1.4608275723866964
4,Górnik Zabrze,Bruk-Bet Termalica Nieciecza,A,0.2648169721404688,0.25396213160856207,0.48122089625096914,0.7314288705315106
4,Korona Kielce,Radomiak Radom,H,0.4229296810655772,0.27358383248492424,0.3034864864494984,0.860549352370686
4,Raków Częstochowa,Zagłębie Lubin,A,0.5685746681693968,0.25105735561988285,0.18036797621072026,1.7127562025729874
4,Jagiellonia Białystok,Cracovia,H,0.5321109533516232,0.22696250167910137,0.24092654496927546,0.6309032524542607
4,Piast Gliwice,Lech Poznań,H,0.3216739529964595,0.3030411635987063,0.3752848834048341,1.1342168147653442
4,Widzew Łódź,Wisła Płock,D,0.06304426141514563,0.16047665430005562,0.7764790842847988,1.8296068030662471
5,Wisła Płock,Legia Warszawa,H,0.7160322774634738,0.18445916154623745,0.09950856099028885,0.33403003278132737
5,Bruk-Bet Termalica Nieciecza,Raków Częstochowa,A,0.45051258454057774,0.2782003493930052,0.271287066066417,1.3045777343703229
5,Motor Lublin,Piast Gliwice,D,0.41447638783249835,0.2728757266344052,0.31264788553309664,1.2987388012318175
5,Zagłębie Lubin,Lechia Gdańsk,H,0.4558121113720956,0.24450595926024576,0.2996819293676586,0.7856745908428027
5,Radomiak Radom,Jagiellonia Białystok,A,0.33097237433096305,0.2371359558635935,0.43189166980544347,0.8395804865239122
5,Pogoń Szczecin,Górnik Zabrze,A,0.5193380860842866,0.2450540172706532,0.23560789664506013,1.4455863105972075
5,Cracovia,Widzew Łódź,H,0.49475107427993714,0.25538974067594694,0.24985918504411583,0.7037005231426741
5,GKS Katowice,Arka Gdynia,H,0.610391588080423,0.2511561673815753,0.13845224453800173,0.4936545801022237
5,Lech Poznań,Korona Kielce,D,0.5564605245419225,0.24741865071379107,0.19612082474428655,1.3966734349864947
6,Wisła Płock,Zagłębie Lubin,H,0.7154913621472329,0.19293800487045049,0.09157063298231662,0.3347857525291782
6,Legia Warszawa,Jagiellonia Białystok,D,0.46820132630806727,0.22549133901235732,0.3063073346795756,1.4894735287044694
6,Lechia Gdańsk,Arka Gdynia,H,0.6813380942697363,0.20140501935324814,0.11725688637701545,0.3836966286753271
6,Górnik Zabrze,GKS Katowice,H,0.5038077473644282,0.2468631675961166,0.24932908503945508,0.6855605373247231
6,Radomiak Radom,Bruk-Bet Termalica Nieciecza,D,0.3901691914690103,0.2520831483369314,0.35774766019405824,1.377996292175489
6,Korona Kielce,Motor Lublin,H,0.44528738352515596,0.2578761034744856,0.2968365130003585,0.8090353995841362
6,Raków Częstochowa,Lech Poznań,D,0.3983845289571317,0.2834023238158108,0.3182131472270575,1.2608877519856716
6,Piast Gliwice,Cracovia,D,0.3961160107510346,0.29084723977533833,0.31303674947362714,1.2349570988703702
6,Widzew Łódź,Pogoń Szczecin,A,0.3205984816770749,0.26310379833411407,0.41629771998881104,0.8763546016426836
7,Arka Gdynia,Wisła Płock,H,0.058045607811104176,0.2028544290220383,0.7390999631668576,2.846526235869511
7,Bruk-Bet Termalica Nieciecza,Korona Kielce,A,0.4736154204278569,0.2551921507543734,0.2711924288177695,1.3049266406442008
7,Zagłębie Lubin,Piast Gliwice,D,0.37440218913792855,0.29727501368977544,0.32832279717229607,1.2130975966076154
7,Górnik Zabrze,Motor Lublin,A,0.49871459036863147,0.24256257719648935,0.25872283243487904,1.3519979353357205
7,Pogoń Szczecin,Raków Częstochowa,H,0.4276851502930991,0.27078128234809756,0.30153356735880354,0.8493679842652833
7,Cracovia,Legia Warszawa,H,0.36454615332094154,0.25435048604411553,0.38110336063494266,1.0091021146412418
7,GKS Katowice,Radomiak Radom,H,0.431734350292522,0.2500729742081541,0.31819267549932395,0.8399448097633712
7,Lech Poznań,Widzew Łódź,H,0.5540173343967553,0.24366285409307697,0.20231981151016765,0.5905593031995312
7,Jagiellonia Białystok,Lechia Gdańsk,H,0.6551211324403805,0.17958943367790536,0.16528943388171413,0.42293512542177686
8,Wisła Płock,Cracovia,D,0.6438838807071621,0.2312280655146864,0.12488805377815138,1.4643507589167049
8,Legia Warszawa,Radomiak Radom,H,0.5993967672510692,0.215281988116262,0.1853212446326687,0.511831517422311
8,Lechia Gdańsk,GKS Katowice,H,0.41606251192199384,0.23900829500757534,0.3449291930704309,0.8769197609668811
8,Motor Lublin,Bruk-Bet Termalica Nieciecza,D,0.515158564935332,0.22346925920758065,0.26137217585708744,1.4984814170837661
8,Korona Kielce,Pogoń Szczecin,H,0.3456508432439946,0.2686643265225436,0.385684830233462,1.0623261370046746
8,Lech Poznań,Zagłębie Lubin,A,0.5770574188339282,0.228341280362238,0.19460130080383375,1.6368024247518862
8,Raków Częstochowa,Górnik Zabrze,A,0.48384899401377984,0.27542887764683643,0.24072212833938364,1.4241120051433367
8,Piast Gliwice,Jagiellonia Białystok,D,0.34355717391712176,0.26762061285086847,0.38882221323200983,1.318184925103924
8,Widzew Łódź,Arka Gdynia,H,0.6359815129838591,0.24671261399456326,0.11730587302157774,0.4525857836999285
9,Arka Gdynia,Korona Kielce,D,0.18126569319010438,0.27246015540823443,0.5462741514016612,1.3002628942552106
9,Bruk-Bet Termalica Nieciecza,Lech Poznań,A,0.32218481876720045,0.24394502370881216,0.4338701575239875,0.8350099658558735
9,Zagłębie Lubin,Motor Lublin,D,0.4312457983206121,0.24921225807777045,0.31954194360161736,1.3894503035604335
9,Górnik Zabrze,Widzew Łódź,H,0.47691926665078543,0.2670562142460926,0.2560245191031221,0.7404080547230165
9,Radomiak Radom,Piast Gliwice,H,0.4040933561551692,0.28748198798716934,0.30842465585766177,0.9061093481237605
9,Pogoń Szczecin,Lechia Gdańsk,A,0.6048677246556087,0.20526400716315055,0.1898682681812408,1.6614247726447218
9,GKS Katowice,Cracovia,A,0.3832478907652521,0.25972205042591073,0.3570300588088371,1.029935302402898
9,Raków Częstochowa,Legia Warszawa,D,0.4081325783795976,0.27014718454726183,0.3217202370731406,1.3087883405592078
9,Wisła Płock,Jagiellonia Białystok,A,0.5759233136143058,0.25403940145312176,0.17003728493257236,1.7717375428468989
10,Wisła Płock,GKS Katowice,D,0.632490540532575,0.23052711278416815,0.13698234668325676,1.467386797501141
10,Legia Warszawa,Pogoń Szczecin,H,0.5016078250911119,0.23132880087827346,0.26706337403061464,0.6899366895237216
10,Motor Lublin,Radomiak Radom,D,0.45266866426126506,0.24481243265359887,0.3025189030851359,1.4072629426499257
10,Zagłębie Lubin,Arka Gdynia,H,0.6342247952531074,0.23930844373939317,0.12646676100749943,0.45535182074352987
10,Korona Kielce,Lechia Gdańsk,H,0.4850080740519971,0.24409804240476765,0.27089388354323507,0.7235897406533316
10,Cracovia,Górnik Zabrze,D,0.4256087080135853,0.27015575375012996,0.30423553823628446,1.308756620565621
10,Lech Poznań,Jagiellonia Białystok,D,0.4697557686862654,0.23728443429785046,0.29295979701588404,1.4384957127283176
10,Piast Gliwice,Bruk-Bet Termalica Nieciecza,H,0.45024585320376087,0.27017791802001584,0.2795762287762234,0.7979615049545784
10,Widzew Łódź,Raków Częstochowa,A,0.3225358056667961,0.28835447619880883,0.38910971813439515,0.9438939233734399
11,Arka Gdynia,Cracovia,H,0.17156469506491273,0.27661101663796417,0.5518242882971233,1.7627948528105544
11,Bruk-Bet Termalica Nieciecza,Widzew Łódź,A,0.46075090702467875,0.23864659110221703,0.3006025018731042,1.2019664787667466
11,Lechia Gdańsk,Wisła Płock,D,0.2277612821782672,0.27107817512574495,0.5011605426959881,1.3053480306029568
11,Górnik Zabrze,Legia Warszawa,H,0.36080388509896705,0.2596959313770855,0.3795001835239473,1.0194207228389849
11,Radomiak Radom,Zagłębie Lubin,H,0.45078979188725316,0.2574935641781672,0.29171664393457974,0.7967541415111189
11,Pogoń Szczecin,Piast Gliwice,H,0.5179756373090334,0.2553973931000943,0.22662696959087242,0.6578270700506469
11,GKS Katowice,Lech Poznań,A,0.2961610757549093,0.2517978403611537,0.4520410838839368,0.7939822097319413
11,Raków Częstochowa,Motor Lublin,H,0.5557633243466016,0.24049398369741984,0.2037426919559785,0.5874127509927557
11,Jagiellonia Białystok,Korona Kielce,H,0.5369965223260035,0.232514822115263,0.23048865555873332,0.6217636606096922
12,Wisła Płock,Bruk-Bet Termalica Nieciecza,H,0.6080135748656411,0.23684925031553974,0.155137174818819,0.49755807018356907
12,Motor Lublin,GKS Katowice,A,0.4478841616324935,0.2409253787750791,0.3111904595924275,1.1673501439845033
12,Zagłębie Lubin,Legia Warszawa,H,0.2883349033505526,0.24952698337038068,0.46213811327906673,1.243632615586767
12,Korona Kielce,Górnik Zabrze,D,0.38471663903844766,0.2788479686082521,0.3364353923533004,1.277088561063724
12,Cracovia,Raków Częstochowa,H,0.3484342519781961,0.28671964344197737,0.3648461045798266,1.054305726613972
12,Lech Poznań,Pogoń Szczecin,D,0.4793243749560336,0.242660672587219,0.2780149524567474,1.4160912206354772
12,Jagiellonia Białystok,Arka Gdynia,H,0.7412328949982462,0.17322038594616518,0.08554671905558862,0.2994404048241491
12,Piast Gliwice,Lechia Gdańsk,A,0.4350394105974577,0.2618267883992034,0.30313380100333875,1.193580983474056
12,Widzew Łódź,Radomiak Radom,H,0.4373362507494202,0.26504216979582623,0.29762157945475376,0.8270529272475327
13,Arka Gdynia,Piast Gliwice,H,0.22566382434560966,0.31593942420926424,0.4583967514451259,1.4887088900361563
13,Bruk-Bet Termalica Nieciecza,Zagłębie Lubin,D,0.45686677170291695,0.23649196009126974,0.3066412682058134,1.4418410670137571
13,Legia Warszawa,Lech Poznań,D,0.4520500183259809,0.2498027340740857,0.2981472475999335,1.3870837362981716
13,Motor Lublin,Widzew Łódź,H,0.413747403282979,0.2538131392518986,0.33243945746512243,0.8824996283637819
13,Górnik Zabrze,Jagiellonia Białystok,H,0.3947146437220437,0.2487650078798179,0.35652034839813845,0.9295921961096295
13,Radomiak Radom,Wisła Płock,D,0.2580346264869538,0.3028304082137558,0.43913496529929025,1.1945823390337393
13,Pogoń Szczecin,Cracovia,H,0.49563071798965724,0.2417137765674358,0.262655505442907,0.701924149732145
13,GKS Katowice,Korona Kielce,H,0.4056406296421686,0.2636516621584917,0.3307077081993401,0.9022876600204144
13,Raków Częstochowa,Lechia Gdańsk,H,0.5666878205424476,0.23377833561611355,0.19953384384143885,0.567946707933675
14,Wisła Płock,Pogoń Szczecin,H,0.4820450837934538,0.2751749743670647,0.24277994183948148,0.7297176344644568
14,Bruk-Bet Termalica Nieciecza,GKS Katowice,A,0.4700638147847414,0.23049695169455056,0.2994392335207078,1.2058437750983373
14,Lechia Gdańsk,Radomiak Radom,A,0.4392669687985512,0.24193398669464908,0.3187990445067998,1.1431943292261526
14,Górnik Zabrze,Arka Gdynia,H,0.6972046889281169,0.20418372234019797,0.09861158873168496,0.36067623998866705
14,Cracovia,Zagłębie Lubin,D,0.5027607036914236,0.25314737797462994,0.2440919183339464,1.3737834382156326
14,Lech Poznań,Motor Lublin,D,0.6089342455252368,0.21093700780627922,0.1801287466684839,1.5561957312808348
14,Jagiellonia Białystok,Raków Częstochowa,A,0.4322939486176332,0.2585922159853978,0.3091138353969689,1.1740456705838265
14,Piast Gliwice,Korona Kielce,D,0.386189377657991,0.2924174483625098,0.3213931739794992,1.2295728799644714
14,Widzew Łódź,Legia Warszawa,D,0.3103550120947689,0.2589327409966468,0.43071224690858434,1.3511869382788115
15,Arka Gdynia,Lech Poznań,H,0.1333180264386666,0.23079869735276773,0.6358832762085658,2.015017828842486
15,Legia Warszawa,Bruk-Bet Termalica Nieciecza,A,0.6395956007802897,0.18940855117258043,0.17099584804712997,1.766116003200392
15,Lechia Gdańsk,Widzew Łódź,H,0.43711121238796236,0.25071233355964345,0.3121764540523941,0.8275676256734813
15,Motor Lublin,Wisła Płock,D,0.2926527972414233,0.285402269232008,0.42194493352656887,1.2538556229128184
15,Zagłębie Lubin,Górnik Zabrze,H,0.3603967107577174,0.2685047621537353,0.3710985270885474,1.0205498799330057
15,Radomiak Radom,Cracovia,H,0.3837634025716029,0.26531185137151575,0.3509247460568813,0.9577290554225825
15,Pogoń Szczecin,Jagiellonia Białystok,A,0.451413527689628,0.22522422353936034,0.3233622487710116,1.1289820709626741
15,Korona Kielce,Raków Częstochowa,A,0.3475890021763978,0.29402071481808356,0.3583902830055187,1.026132710398683
15,GKS Katowice,Piast Gliwice,A,0.43713361564285086,0.26889859734873056,0.29396778700841847,1.2242850856450438
16,Bruk-Bet Termalica Nieciecza,Arka Gdynia,H,0.6583825151206734,0.20054446653562,0.1410730183437066,0.4179691865930018
16,Legia Warszawa,Lechia Gdańsk,D,0.6112716364185161,0.20559512351652665,0.18313324006495718,1.581846463987242
16,Górnik Zabrze,Wisła Płock,D,0.40387867009211315,0.2947097634202375,0.30141156648764944,1.22176425975593
16,Pogoń Szczecin,Zagłębie Lubin,H,0.5689112821741652,0.22115227285420616,0.2099364449716286,0.5640307758627385
16,Cracovia,Motor Lublin,A,0.5044327034932379,0.24129852840401317,0.2542687681027489,1.3693634292645762
16,Lech Poznań,Radomiak Radom,H,0.5603230292257139,0.23241350831692711,0.20726346245735922,0.5792418236569131
16,Raków Częstochowa,Piast Gliwice,A,0.5250131439093737,0.27455427768119467,0.20043257840943154,1.607277356070665
16,Jagiellonia Białystok,GKS Katowice,H,0.5894425583293378,0.2038132416240379,0.20674420004662436,0.5285780050936695
16,Widzew Łódź,Korona Kielce,A,0.4077608894063779,0.27478806186729504,0.3174510487263269,1.1474316497758383
17,Arka Gdynia,Raków Częstochowa,A,0.17116069427858557,0.26233954850648317,0.5664997572149313,0.5682786270844569
17,Wisła Płock,Lech Poznań,D,0.3732338897366017,0.2891840685121566,0.33758204175124173,1.2406918783471728
17,Lechia Gdańsk,Bruk-Bet Termalica Nieciecza,H,0.4828695995055471,0.22906541995002325,0.28806498054442975,0.7280086421005901
17,Motor Lublin,Legia Warszawa,D,0.3301006341944672,0.2444417240815949,0.42545764172393813,1.4087783457909862
17,Zagłębie Lubin,Jagiellonia Białystok,D,0.33875433618937223,0.24305273973319114,0.41819292407743675,1.4144768232514227
17,Radomiak Radom,Górnik Zabrze,H,0.38058247934487877,0.26069033693457994,0.35872718372054124,0.966052359481121
17,Korona Kielce,Cracovia,A,0.4036428827359444,0.2771254019204087,0.319231715343647,1.1418380594962345
17,GKS Katowice,Pogoń Szczecin,H,0.3392726433783061,0.23754842855535027,0.4231789280663437,1.0809512370905365
17,Piast Gliwice,Widzew Łódź,A,0.4261426253546077,0.28288112881590577,0.2909762458294866,1.2345136445944456
18,Arka Gdynia,Motor Lublin,H,0.24555445853837335,0.25960401160934843,0.4948415298522782,1.4042365293073245
18,Bruk-Bet Termalica Nieciecza,Jagiellonia Białystok,H,0.30987853858255177,0.22307055548103893,0.46705090593640924,1.1715748693049666
18,Lechia Gdańsk,Górnik Zabrze,H,0.3868053561618453,0.25273895657874057,0.360455687259414,0.9498336681311227
18,Pogoń Szczecin,Radomiak Radom,D,0.5484690280996877,0.2201521997337833,0.2313787721665292,1.5134361548530813
18,Korona Kielce,Wisła Płock,D,0.3942934668872762,0.29429296005298594,0.31141357305973805,1.2231795450176561
18,Cracovia,Lech Poznań,D,0.3568865195101829,0.2708942329818826,0.3722192475079346,1.3060268184828316
18,Raków Częstochowa,GKS Katowice,H,0.5524485828046982,0.24263657206697398,0.20491484512832786,0.5933949127177662
18,Piast Gliwice,Legia Warszawa,H,0.30853886153700905,0.27205900926798704,0.419402129195004,1.1759074742443647
18,Zagłębie Lubin,Widzew Łódź,H,0.4205374564293561,0.26690709789380496,0.3125554456768389,0.8662217276042783
19,Wisła Płock,Raków Częstochowa,H,0.3499071263351467,0.3090496298218424,0.34104324384301093,1.0500875130392537
19,Bruk-Bet Termalica Nieciecza,Cracovia,A,0.3474434323785242,0.2584891041298694,0.3940674634916064,0.9312331572058393
19,Legia Warszawa,Korona Kielce,A,0.5336274017930203,0.2407518347705166,0.22562076343646306,1.4888997270841882
19,Motor Lublin,Pogoń Szczecin,H,0.3378637717454355,0.23315765909533867,0.42897856915922594,1.085112506915713
19,Zagłębie Lubin,GKS Katowice,A,0.4404103686395879,0.25657983630856795,0.30300979505184417,1.1939901470914949
19,Górnik Zabrze,Piast Gliwice,H,0.4914364872755621,0.2678741846227654,0.24068932810167237,0.7104225699715573
19,Radomiak Radom,Arka Gdynia,H,0.6195788412872454,0.223181807203772,0.1572393515089826,0.4787153200101742
19,Lech Poznań,Lechia Gdańsk,A,0.5867924981417466,0.2144457913178917,0.19876171054036168,1.6156486062256725
19,Widzew Łódź,Jagiellonia Białystok,A,0.3580903677301508,0.2473254400368658,0.39458419223298336,0.92992274642671
20,Arka Gdynia,Legia Warszawa,D,0.18810298276750004,0.23702256650439898,0.574874450728101,1.4395999250617477
20,Lechia Gdańsk,Cracovia,D,0.38615618274354646,0.25613312960989415,0.35771068764655944,1.362057932136585
20,Górnik Zabrze,Lech Poznań,A,0.3766366624634731,0.2638097157323496,0.3595536218041774,1.0228919563257604
20,Pogoń Szczecin,Bruk-Bet Termalica Nieciecza,D,0.631959651574701,0.1929084402455265,0.17513190817977264,1.6455396055148162
20,Korona Kielce,Zagłębie Lubin,A,0.47792780664462076,0.2626712236076571,0.2594009697477223,1.3493802686807124
20,GKS Katowice,Widzew Łódź,H,0.42525963226151575,0.2589788695001756,0.3157614982383087,0.8550553971419611
20,Raków Częstochowa,Radomiak Radom,D,0.5363084990552203,0.2470006921254543,0.2166908088193255,1.3983641402307405
20,Jagiellonia Białystok,Motor Lublin,H,0.5820452201496132,0.20527348690560754,0.21268129294477928,0.5412071364174518
20,Piast Gliwice,Wisła Płock,H,0.3852293439696556,0.2974713266904728,0.3172993293398716,0.9539164234298642
21,Wisła Płock,Widzew Łódź,A,0.44811716848069694,0.27749351502746206,0.274389316491841,1.2932073179559922
21,Bruk-Bet Termalica Nieciecza,Górnik Zabrze,D,0.33990091524934357,0.25606268243663965,0.4040364023140167,1.36233301120612
21,Motor Lublin,Lechia Gdańsk,A,0.45284485593144685,0.23104346219440025,0.3161116818741529,1.15165970418227
21,Zagłębie Lubin,Raków Częstochowa,D,0.31060146369241187,0.2792837283992702,0.4101148079083178,1.275527066234113
21,Radomiak Radom,Korona Kielce,A,0.4116529014080998,0.2603331097833778,0.32801398880852245,1.114699022700957
21,Pogoń Szczecin,Arka Gdynia,H,0.6987574313582952,0.18326412137644607,0.11797844726525888,0.3584516193517857
21,Cracovia,Jagiellonia Białystok,D,0.4126000147778405,0.24968676164793774,0.3377132235742218,1.3875481001305454
21,GKS Katowice,Legia Warszawa,D,0.31478704696915966,0.2503113257430912,0.43490162728774906,1.385049832894143
21,Lech Poznań,Piast Gliwice,H,0.5641923007963223,0.24263413011627175,0.19317356908740596,0.5723601267386131
22,Arka Gdynia,GKS Katowice,H,0.2839787183222606,0.2740937519014634,0.4419275297762761,1.2588559791137326
22,Legia Warszawa,Wisła Płock,H,0.5399836864369489,0.24351225081660333,0.2165040627464479,0.6162163501821037
22,Lechia Gdańsk,Zagłębie Lubin,A,0.47665865081271863,0.24442752591894865,0.2789138232683328,1.2768524220475854
22,Górnik Zabrze,Pogoń Szczecin,A,0.4162271791738445,0.2484664605302591,0.33530636029589656,1.0927106567191007
22,Korona Kielce,Lech Poznań,A,0.3387842072129412,0.26283201952552115,0.39838377326153784,0.9203394838663895
22,Raków Częstochowa,Bruk-Bet Termalica Nieciecza,H,0.5929478545491427,0.2276678509571575,0.1793842944936999,0.5226488188439338
22,Jagiellonia Białystok,Radomiak Radom,D,0.5466133022376599,0.2196548146667312,0.23373188309560863,1.5156979890795204
22,Piast Gliwice,Motor Lublin,A,0.4512717436985309,0.2562903317962808,0.29243792450518813,1.229502858746794
22,Widzew Łódź,Cracovia,D,0.3825518474422869,0.27615660739184644,0.3412915451658667,1.2867871560993593
23,Arka Gdynia,Lechia Gdańsk,D,0.28632821536882225,0.2585699927809349,0.4551017918502429,1.3525888565739104
23,Bruk-Bet Termalica Nieciecza,Radomiak Radom,D,0.3987202259689796,0.2485225429394111,0.35275723109160917,1.3922217215059378
23,Motor Lublin,Korona Kielce,H,0.39225817138679847,0.2518449305639374,0.35589689804926417,0.935835055497265
23,Zagłębie Lubin,Wisła Płock,H,0.38353095150220684,0.2844117493331261,0.3320572991646672,0.9583349534727199
23,Pogoń Szczecin,Widzew Łódź,H,0.5364029321159535,0.23172890977993696,0.23186815810410977,0.6228696613032869
23,Cracovia,Piast Gliwice,A,0.488319720500795,0.27158704304102804,0.24009323645817698,1.4267279458385955
23,GKS Katowice,Górnik Zabrze,H,0.3712497216420306,0.2652311212713716,0.3635191570865977,0.990880338651285
23,Lech Poznań,Raków Częstochowa,H,0.44959724723969036,0.266991954247106,0.2834107985132037,0.7994031031089209
23,Jagiellonia Białystok,Legia Warszawa,D,0.43695769151206226,0.23524966765771746,0.3277926408302204,1.4471079132372315
24,Wisła Płock,Arka Gdynia,A,0.5816813519233758,0.24918979070810018,0.1691288573685239,1.7770943849551286
24,Legia Warszawa,Cracovia,H,0.49126215835088116,0.2527447278573912,0.2559931137917277,0.7107773662812612
24,Lechia Gdańsk,Jagiellonia Białystok,H,0.3678777389891189,0.22988481951381315,0.40223744149706797,1.0000046270219831
24,Motor Lublin,Górnik Zabrze,D,0.3614179952679149,0.2501031275869977,0.38847887714508744,1.3858819358309025
24,Radomiak Radom,GKS Katowice,A,0.4553135164817612,0.24839925603367197,0.2962872274845667,1.2164259320324917
24,Korona Kielce,Bruk-Bet Termalica Nieciecza,H,0.5126387173390928,0.24237038415607368,0.24499089850483352,0.668183936614825
24,Raków Częstochowa,Pogoń Szczecin,H,0.4614328131119562,0.2522577714995818,0.2863094153884622,0.7734188193603074
24,Piast Gliwice,Zagłębie Lubin,A,0.43191258799328347,0.2778472226757098,0.2902401893310065,1.2370464597298942
24,Widzew Łódź,Lech Poznań,H,0.3224485006743524,0.2621556196398577,0.41539587968578995,1.1318118433292346
25,Arka Gdynia,Widzew Łódź,D,0.2991520911798911,0.2755167680747426,0.4253311407453662,1.2891067880861697
25,Bruk-Bet Termalica Nieciecza,Motor Lublin,A,0.44192031491811257,0.23603995753788645,0.3220397275440008,1.1330803635822613
25,Zagłębie Lubin,Lech Poznań,A,0.29115251640145634,0.2584113214721962,0.4504361621263476,0.7975389164667889
25,Górnik Zabrze,Raków Częstochowa,H,0.3623179959000824,0.2790452745575187,0.358636729542399,1.0152330110475487
25,Radomiak Radom,Legia Warszawa,D,0.34134507954364784,0.25385016485317735,0.4048047556031749,1.3710110881771764
25,Pogoń Szczecin,Korona Kielce,H,0.5147932120354481,0.23681580607695235,0.24839098188759945,0.6639899889814244
25,Cracovia,Wisła Płock,A,0.4835765734758385,0.26879390361259353,0.24762952291156826,1.3958215089648844
25,GKS Katowice,Lechia Gdańsk,H,0.4338951292636555,0.24108351317376475,0.32502135756257977,0.8349524117221577
25,Jagiellonia Białystok,Piast Gliwice,A,0.5440097699418864,0.2335249380405757,0.22246529201753779,1.5029841804761075
26,Jagiellonia Białystok,Wisła Płock,A,0.5466605996038396,0.22991394882860397,0.22342545156755667,1.4986774706020023
26,Legia Warszawa,Raków Częstochowa,D,0.4181671576263899,0.267941953628307,0.31389088874530324,1.3169849128696383
26,Lechia Gdańsk,Pogoń Szczecin,H,0.3734355992773677,0.23479890705308418,0.3917654936695482,0.9850097142363511
26,Motor Lublin,Zagłębie Lubin,H,0.44015909503518763,0.2505376435309104,0.30930326143390197,0.8206190377985632
26,Korona Kielce,Arka Gdynia,H,0.5696147205856792,0.24162105975222073,0.18876421966210005,0.5627950754934562
26,Cracovia,GKS Katowice,H,0.4914532377920451,0.2551826943500541,0.2533640678579008,0.7103884857481548
26,Lech Poznań,Bruk-Bet Termalica Nieciecza,H,0.6427092217326639,0.19669500254699504,0.16059577572034126,0.4420628782829643
26,Piast Gliwice,Radomiak Radom,H,0.41770963705868003,0.27259302081521825,0.3096973421261019,0.8729687360221964
26,Widzew Łódź,Górnik Zabrze,D,0.3907737276814772,0.2752387449060208,0.3339875274125019,1.290116394656726
27,Arka Gdynia,Zagłębie Lubin,H,0.32648782248580743,0.27793733860975545,0.39557483890443734,1.1193626280950277
27,Bruk-Bet Termalica Nieciecza,Piast Gliwice,H,0.3809439032407004,0.26220410097755625,0.35685199578174326,0.9651031502843723
27,Lechia Gdańsk,Korona Kielce,H,0.44274421620759674,0.245799760216352,0.3114560235760513,0.8147630657413995
27,Górnik Zabrze,Cracovia,H,0.42489429714467714,0.27563244107988777,0.2994732617754352,0.855914853592588
