kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away
24,Radomiak Radom,GKS Katowice,819,0,1,1,A,0,1,0,0,0,1.7898,1.4039,3.1937,0.467,0.2301,0.3029,H,0,1.1943,0.6284,0.041,0.172,0.3812,0.6039,0.959,0.828,0.6188,0.3961,1.7898,0.4039
24,Korona Kielce,Bruk-Bet Termalica Nieciecza,819,2,1,3,H,1,1,1,1,0,1.5921,0.9288,2.5209,0.529,0.2511,0.2199,H,1,0.6368,0.4819,0.0804,0.283,0.5384,0.7531,0.9196,0.717,0.4616,0.2469,0.4079,0.0712
24,Raków Częstochowa,Pogoń Szczecin,819,2,0,2,H,0,1,1,0,0,1.5796,1.003,2.5826,0.5076,0.252,0.2404,H,1,0.6781,0.5027,0.0756,0.2708,0.5228,0.7398,0.9244,0.7292,0.4772,0.2602,0.4204,1.003
24,Piast Gliwice,Zagłębie Lubin,819,1,3,4,A,1,1,1,1,1,1.2588,0.8812,2.14,0.4509,0.2891,0.2599,H,0,1.3473,0.4194,0.1176,0.3694,0.6388,0.831,0.8824,0.6306,0.3612,0.169,0.2588,2.1188
24,Widzew Łódź,Lech Poznań,819,2,1,3,H,1,1,1,1,0,1.2449,1.5405,2.7854,0.3078,0.2504,0.4417,A,0,1.1782,0.5595,0.0617,0.2336,0.4729,0.6952,0.9383,0.7664,0.5271,0.3048,0.7551,0.5405
25,Arka Gdynia,Widzew Łódź,828,0,0,0,D,0,0,0,0,0,1.219,1.299,2.518,0.3467,0.2687,0.3847,A,0,1.3143,0.5123,0.0806,0.2836,0.5392,0.7537,0.9194,0.7164,0.4608,0.2463,1.219,1.299
25,Bruk-Bet Termalica Nieciecza,Motor Lublin,828,1,2,3,A,1,1,1,1,0,1.6369,1.4788,3.1157,0.4156,0.2371,0.3473,H,0,1.0575,0.6219,0.0443,0.1825,0.3978,0.6213,0.9557,0.8175,0.6022,0.3787,0.6369,0.5212
25,Zagłębie Lubin,Lech Poznań,828,0,1,1,A,0,1,0,0,0,1.3478,1.5037,2.8515,0.3403,0.2493,0.4104,A,1,0.8907,0.5756,0.0578,0.2225,0.4573,0.6805,0.9422,0.7775,0.5427,0.3195,1.3478,0.5037
25,Górnik Zabrze,Raków Częstochowa,828,3,1,4,H,1,1,1,1,1,1.0715,1.0971,2.1686,0.3466,0.2938,0.3596,A,0,1.0595,0.438,0.1143,0.3623,0.6311,0.8255,0.8857,0.6377,0.3689,0.1745,1.9285,0.0971
25,Radomiak Radom,Legia Warszawa,828,1,1,2,D,1,1,1,0,0,1.5441,1.4429,2.987,0.4006,0.2433,0.3561,H,0,1.4136,0.6007,0.0504,0.2011,0.4261,0.6501,0.9496,0.7989,0.5739,0.3499,0.5441,0.4429
25,Pogoń Szczecin,Korona Kielce,828,2,1,3,H,1,1,1,1,0,1.614,0.9547,2.5687,0.528,0.2488,0.2232,H,1,0.6386,0.4926,0.0766,0.2735,0.5263,0.7428,0.9234,0.7265,0.4737,0.2572,0.386,0.0453
25,Cracovia,Wisła Płock,828,1,2,3,A,1,1,1,1,0,1.1626,0.8292,1.9918,0.4353,0.3033,0.2614,H,0,1.3419,0.3874,0.1365,0.4082,0.6789,0.8586,0.8635,0.5918,0.3211,0.1414,0.1626,1.1708
25,GKS Katowice,Lechia Gdańsk,828,2,0,2,H,0,1,1,0,0,2.1191,1.4837,3.6028,0.5223,0.2091,0.2687,H,1,0.6496,0.6803,0.0272,0.1254,0.3023,0.5146,0.9728,0.8746,0.6977,0.4854,0.1191,1.4837
25,Jagiellonia Białystok,Piast Gliwice,828,1,2,3,A,1,1,1,1,0,1.6767,0.8818,2.5585,0.5616,0.2418,0.1965,H,0,1.6269,0.4764,0.0774,0.2755,0.5289,0.745,0.9226,0.7245,0.4711,0.255,0.6767,1.1182
26,Jagiellonia Białystok,Wisła Płock,837,1,2,3,A,1,1,1,1,0,1.443,0.8543,2.2973,0.5091,0.2683,0.2226,H,0,1.5022,0.4387,0.1005,0.3315,0.5967,0.7999,0.8995,0.6685,0.4033,0.2001,0.443,1.1457
26,Legia Warszawa,Raków Częstochowa,837,1,1,2,D,1,1,1,0,0,1.2456,1.1388,2.3844,0.3874,0.2772,0.3355,H,0,1.2831,0.4842,0.0921,0.3118,0.5738,0.782,0.9079,0.6882,0.4262,0.218,0.2456,0.1388
26,Lechia Gdańsk,Pogoń Szczecin,837,2,1,3,H,1,1,1,1,0,1.8422,1.7879,3.6301,0.4018,0.2183,0.3799,H,1,0.9118,0.7007,0.0265,0.1228,0.2975,0.5089,0.9735,0.8772,0.7025,0.4911,0.1578,0.7879
26,Motor Lublin,Zagłębie Lubin,837,1,0,1,H,0,1,0,0,0,1.5734,1.3183,2.8917,0.4339,0.2459,0.3202,H,1,0.8349,0.5805,0.0555,0.2159,0.4479,0.6715,0.9445,0.7841,0.5521,0.3285,0.5734,1.3183
26,Korona Kielce,Arka Gdynia,837,3,0,3,H,0,1,1,1,0,1.5369,0.7827,2.3196,0.5523,0.2573,0.1905,H,1,0.5937,0.4261,0.0983,0.3263,0.5908,0.7953,0.9017,0.6737,0.4092,0.2047,1.4631,0.7827
26,Cracovia,GKS Katowice,837,1,0,1,H,0,1,0,0,0,1.6173,1.1933,2.8106,0.4724,0.2459,0.2817,H,1,0.75,0.5585,0.0602,0.2293,0.4669,0.6896,0.9398,0.7707,0.5331,0.3104,0.6173,1.1933
26,Lech Poznań,Bruk-Bet Termalica Nieciecza,837,4,1,5,H,1,1,1,1,1,2.4918,0.9028,3.3946,0.7203,0.1638,0.1159,H,1,0.328,0.5454,0.0336,0.1475,0.3409,0.5597,0.9664,0.8525,0.6591,0.4403,1.5082,0.0972
26,Piast Gliwice,Radomiak Radom,837,3,1,4,H,1,1,1,1,1,1.4512,1.0377,2.4889,0.4661,0.2637,0.2701,H,1,0.7633,0.4945,0.083,0.2896,0.5466,0.7599,0.917,0.7104,0.4534,0.2401,1.5488,0.0377
