window,eta_form,k_form,cap_form,log_loss_val,accuracy_val
8,1.0,8,1.25,1.0411019102482115,0.4673202614379085
5,1.0,5,1.25,1.041323205175227,0.46078431372549017
5,1.0,8,1.5,1.041338838754142,0.4673202614379085
8,1.0,8,1.35,1.0416660911521536,0.46405228758169936
8,0.75,5,1.5,1.0421559307081303,0.47058823529411764
3,1.0,5,1.35,1.042302477459176,0.4673202614379085
3,0.75,3,1.35,1.0423247159102487,0.4673202614379085
8,0.75,3,1.25,1.042569611771063,0.46405228758169936
10,1.0,5,1.5,1.0427737114590043,0.4934640522875817
5,0.75,3,1.35,1.04307389236585,0.46405228758169936
10,1.0,3,1.35,1.0431469044130537,0.5065359477124183
3,1.0,3,1.25,1.0433424425566311,0.45098039215686275
8,0.75,3,1.35,1.043479189528649,0.46078431372549017
8,1.0,8,1.5,1.043611281127541,0.4738562091503268
5,1.0,5,1.35,1.0443388642004998,0.4673202614379085
3,1.0,5,1.5,1.0447276438644693,0.47058823529411764
3,0.75,3,1.5,1.0447706423235583,0.47058823529411764
8,1.0,5,1.25,1.0447834086163117,0.4738562091503268
5,0.75,3,1.5,1.0455342529188474,0.4738562091503268
5,1.0,3,1.25,1.0457354052278016,0.47058823529411764
8,0.75,3,1.5,1.0458671732817384,0.4803921568627451
8,1.0,5,1.35,1.0461229124047497,0.48366013071895425
5,1.0,5,1.5,1.0471254233033966,0.4738562091503268
10,1.0,3,1.5,1.0476447000662512,0.5
3,1.0,3,1.35,1.0490283540014245,0.46078431372549017
8,1.0,5,1.5,1.0490693064256589,0.5
8,1.0,3,1.25,1.049105570462111,0.48366013071895425
5,1.0,3,1.35,1.050619311547519,0.48366013071895425
8,1.0,3,1.35,1.0514940107424384,0.5
3,1.0,3,1.5,1.0538474542843632,0.46078431372549017
5,1.0,3,1.5,1.0552316745208756,0.4803921568627451
8,1.0,3,1.5,1.0556837979797518,0.49673202614379086
