kolejka,gospodarz,gosc,gole_gosp,gole_gosc,wynik_1x2,lambda_home,lambda_away,p_home_log,p_draw_log,p_away_log,log_loss_log,log_loss_base
11,Jagiellonia Białystok,Korona Kielce,3,1,H,1.7863829829209252,1.0890705586286675,0.5222,0.2552,0.2226,0.6498,0.6217
12,Wisła Płock,Bruk-Bet Termalica Nieciecza,3,1,H,1.4306824935489317,0.873020264534668,0.5534,0.2139,0.2327,0.5917,0.6912
12,Motor Lublin,GKS Katowice,2,5,A,1.6435207636470126,1.332734318753883,0.4424,0.3093,0.2483,1.3932,1.1673
12,Zagłębie Lubin,Legia Warszawa,3,1,H,1.1891307908645916,1.5721589619489171,0.3034,0.3927,0.3039,1.1928,1.2435
12,Korona Kielce,Górnik Zabrze,1,1,D,1.230258440520421,1.1313247797431214,0.4401,0.2824,0.2775,1.2644,1.2771
12,Cracovia,Raków Częstochowa,2,0,H,1.113010126779235,1.145863567223564,0.4169,0.2916,0.2915,0.8749,1.0542
12,Lech Poznań,Pogoń Szczecin,2,2,D,1.656242712892837,1.2043731580170742,0.4854,0.2766,0.238,1.2851,1.4161
12,Jagiellonia Białystok,Arka Gdynia,4,0,H,2.110419129269563,0.7170000697006417,0.7015,0.1474,0.1512,0.3546,0.3614
12,Piast Gliwice,Lechia Gdańsk,1,2,A,1.432125688234115,1.1503783118415019,0.4665,0.2763,0.2572,1.358,1.1937
12,Widzew Łódź,Radomiak Radom,3,2,H,1.40933848123647,1.1138492345000672,0.4744,0.2689,0.2567,0.7457,0.827
13,Arka Gdynia,Piast Gliwice,2,1,H,0.8385701281340708,1.0815054779950872,0.423,0.2857,0.2913,0.8604,1.2764
13,Bruk-Bet Termalica Nieciecza,Zagłębie Lubin,1,1,D,1.4503679995456202,1.280658561076886,0.431,0.301,0.2681,1.2007,1.3649
13,Legia Warszawa,Lech Poznań,0,0,D,1.558796934474407,1.2190605964945553,0.4656,0.2811,0.2534,1.2691,1.387
13,Motor Lublin,Widzew Łódź,3,0,H,1.4685531297257801,1.2902536979801678,0.4299,0.3023,0.2678,0.8442,0.8825
13,Górnik Zabrze,Jagiellonia Białystok,2,1,H,1.4797693680635204,1.3946548441618163,0.3961,0.3262,0.2777,0.9262,0.9297
13,Radomiak Radom,Wisła Płock,1,1,D,1.1551051471358846,1.057175549701206,0.4708,0.265,0.2642,1.3279,1.2383
13,Pogoń Szczecin,Cracovia,2,1,H,1.6762500153998174,1.15446511500102,0.5027,0.2601,0.2373,0.6878,0.702
13,GKS Katowice,Korona Kielce,1,0,H,1.3735454554251327,1.213829413692059,0.4443,0.2894,0.2663,0.8113,0.9023
13,Raków Częstochowa,Lechia Gdańsk,2,1,H,1.7599095849726654,0.9407856702541698,0.5863,0.209,0.2047,0.534,0.568
14,Wisła Płock,Pogoń Szczecin,2,0,H,1.255364749296652,1.1751606174505824,0.4598,0.2918,0.2483,0.7769,0.9618
14,Bruk-Bet Termalica Nieciecza,GKS Katowice,0,3,A,1.5421568336419982,1.3256682840448242,0.4476,0.309,0.2433,1.4133,1.1158
14,Lechia Gdańsk,Radomiak Radom,1,2,A,1.6216154875944926,1.3481710470955468,0.4503,0.3094,0.2403,1.426,1.1432
14,Górnik Zabrze,Arka Gdynia,5,1,H,1.782956250250765,0.6528427760254619,0.6842,0.1572,0.1586,0.3795,0.4371
14,Cracovia,Zagłębie Lubin,0,0,D,1.566944552293731,1.0096378888434898,0.552,0.237,0.2109,1.4395,1.3738
14,Lech Poznań,Motor Lublin,2,2,D,2.0060401158521364,0.9917268153494635,0.6116,0.2076,0.1808,1.572,1.5562
14,Jagiellonia Białystok,Raków Częstochowa,1,2,A,1.4552318439275638,1.189628216772975,0.4804,0.2831,0.2365,1.4418,1.174
14,Piast Gliwice,Korona Kielce,0,0,D,1.152226073387031,1.024014747639518,0.4952,0.2644,0.2404,1.3301,1.2296
14,Widzew Łódź,Legia Warszawa,1,1,D,1.1908155908486524,1.450090534334422,0.3663,0.3586,0.2751,1.0256,1.3512
