kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,rho,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away,jest_beniaminek,ben_druzyna,n_mecze_ben,waga_priora
28,Legia Warszawa,Górnik Zabrze,855,1,1,2,D,1,1,1,0,0,1.4403,1.0195,2.4598,-0.0738,0.4583,0.2838,0.2579,H,0,1.2597,0.4878,0.0947,0.2864,0.5542,0.7661,0.9053,0.7136,0.4458,0.2339,0.4403,0.0195,0,,,
28,Motor Lublin,Raków Częstochowa,855,1,1,2,D,1,1,1,0,0,1.1672,1.4052,2.5724,-0.0738,0.3032,0.2818,0.415,A,0,1.2666,0.5198,0.0856,0.2635,0.5254,0.742,0.9144,0.7365,0.4746,0.258,0.1672,0.4052,0,,,
28,Zagłębie Lubin,Radomiak Radom,855,1,0,1,H,0,1,0,0,0,1.6699,1.2446,2.9145,-0.0738,0.4653,0.2576,0.2771,H,1,0.7651,0.5779,0.0625,0.204,0.4426,0.6664,0.9375,0.796,0.5574,0.3336,0.6699,1.2446,0,,,
28,Korona Kielce,Jagiellonia Białystok,855,1,1,2,D,1,1,1,0,0,1.2725,1.3825,2.655,-0.0738,0.3352,0.2785,0.3863,A,0,1.2783,0.5392,0.0794,0.2478,0.5047,0.724,0.9206,0.7522,0.4953,0.276,0.2725,0.3825,0,,,
28,Cracovia,Arka Gdynia,855,2,2,4,D,1,1,1,1,1,1.9017,0.8691,2.7708,-0.0738,0.6088,0.2329,0.1583,H,0,1.4573,0.494,0.0702,0.2285,0.4765,0.6985,0.9298,0.7715,0.5235,0.3015,0.0983,1.1309,1,Arka Gdynia,27.0,0.2703
28,Lech Poznań,GKS Katowice,855,3,3,6,D,1,1,1,1,1,1.937,1.0253,2.9623,-0.0738,0.5785,0.2333,0.1882,H,0,1.4555,0.5489,0.0593,0.1973,0.4317,0.6557,0.9407,0.8027,0.5683,0.3443,1.063,1.9747,0,,,
28,Piast Gliwice,Pogoń Szczecin,855,0,2,2,A,0,1,1,0,0,1.2988,1.114,2.4128,-0.0738,0.398,0.2934,0.3086,H,0,1.1756,0.4885,0.0991,0.2961,0.5664,0.776,0.9009,0.7039,0.4336,0.224,1.2988,0.886,0,,,
28,Widzew Łódź,Bruk-Bet Termalica Nieciecza,855,1,0,1,H,0,1,0,0,0,1.7309,1.0034,2.7343,-0.0738,0.5362,0.2539,0.2099,H,1,0.6233,0.5212,0.0733,0.2342,0.4853,0.7065,0.9267,0.7658,0.5147,0.2935,0.7309,1.0034,1,Bruk-Bet Termalica Nieciecza,27.0,0.2703
29,Arka Gdynia,Jagiellonia Białystok,864,0,3,3,A,0,1,1,1,0,1.1483,1.7674,2.9157,-0.0723,0.2392,0.2501,0.5108,A,1,0.6718,0.5662,0.0621,0.2041,0.4423,0.6661,0.9379,0.7959,0.5577,0.3339,1.1483,1.2326,1,Arka Gdynia,28.0,0.2632
29,Bruk-Bet Termalica Nieciecza,Wisła Płock,864,1,3,4,A,1,1,1,1,1,1.0345,1.0902,2.1247,-0.0723,0.3274,0.3168,0.3558,A,1,1.0332,0.4279,0.1292,0.3636,0.643,0.8339,0.8708,0.6364,0.357,0.1661,0.0345,1.9098,1,Bruk-Bet Termalica Nieciecza,28.0,0.2632
