match_id,sezon,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,flash_id,flash_url,has_observed_xg,xg_source,xg_gosp_obs,xg_gosc_obs,xg_gosp_hybrid,xg_gosc_hybrid
1743,2023/24,7,2023-09-03,Raków Częstochowa,Puszcza Niepołomice,2.0,0.0,13.0,8.0,6.0,1.0,G2NggyJB,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=G2NggyJB,0,imputed_constrained,,,1.6053760501058978,0.8723935191702992
1744,2023/24,7,2023-09-01,Ruch Chorzów,Stal Mielec,1.0,1.0,17.0,13.0,5.0,4.0,fgMcheYH,https://www.flashscore.pl/mecz/pilka-nozna/ruch-chorzow-S4zygtuJ/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=fgMcheYH,0,imputed_constrained,,,2.2784314238522256,1.2989470691201586
1745,2023/24,7,2023-09-01,ŁKS Łódź,Warta Poznań,0.0,2.0,12.0,5.0,1.0,2.0,A3uSzT2p,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=A3uSzT2p,0,imputed_constrained,,,0.8870550524467092,1.4522559246377673
1746,2023/24,7,2023-09-03,Śląsk Wrocław,Jagiellonia Białystok,2.0,1.0,12.0,9.0,4.0,3.0,lfvWZnIj,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=lfvWZnIj,0,imputed_constrained,,,1.1603434140874256,1.4693951754210468
1747,2023/24,8,2023-09-15,Górnik Zabrze,Ruch Chorzów,1.0,0.0,16.0,10.0,3.0,1.0,2cSDbWfi,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=2cSDbWfi,0,imputed_constrained,,,1.9342057920203037,1.4953366570748998
1748,2023/24,8,2023-09-17,Jagiellonia Białystok,Radomiak Radom,3.0,2.0,11.0,11.0,5.0,4.0,G0WHcjAc,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=G0WHcjAc,0,imputed_constrained,,,2.0519432032739817,1.3376505467529554
1749,2023/24,8,2023-09-16,Piast Gliwice,Legia Warszawa,1.0,1.0,13.0,6.0,3.0,3.0,bPLMdAP3,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=bPLMdAP3,0,imputed_constrained,,,1.619017103863403,0.7440783554205
1750,2023/24,8,2023-09-16,Pogoń Szczecin,Korona Kielce,3.0,1.0,26.0,8.0,9.0,5.0,xGKQeUvA,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=xGKQeUvA,0,imputed_constrained,,,2.029958200173149,0.9596583724521842
1751,2023/24,8,2023-09-15,Puszcza Niepołomice,Śląsk Wrocław,1.0,3.0,7.0,19.0,4.0,7.0,ptKUflfG,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=ptKUflfG,0,imputed_constrained,,,1.3250167886812882,1.881469787132667
1752,2023/24,8,2023-09-16,Raków Częstochowa,ŁKS Łódź,1.0,0.0,10.0,16.0,1.0,5.0,OWIYg89M,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=OWIYg89M,0,imputed_constrained,,,1.4236937311060802,0.9648271341497568
1753,2023/24,8,2023-09-18,Stal Mielec,Zagłębie Lubin,4.0,2.0,18.0,9.0,6.0,4.0,6e8wgSOS,https://www.flashscore.pl/mecz/pilka-nozna/stal-mielec-pxXiDZkQ/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=6e8wgSOS,0,imputed_constrained,,,1.1499725594741663,1.44401242928469
1754,2023/24,8,2023-09-17,Warta Poznań,Lech Poznań,0.0,2.0,7.0,11.0,2.0,5.0,rHa5lnXq,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=rHa5lnXq,0,imputed_constrained,,,0.9966978017662029,1.2183346388156202
1755,2023/24,8,2023-09-17,Widzew Łódź,Cracovia,2.0,0.0,10.0,13.0,6.0,2.0,xva9m6nj,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=xva9m6nj,0,imputed_constrained,,,1.5502109571382163,1.5520015504513627
1756,2023/24,9,2023-09-23,Cracovia,Pogoń Szczecin,1.0,5.0,14.0,12.0,3.0,5.0,GUcDnQ1d,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=GUcDnQ1d,0,imputed_constrained,,,1.1902742589016235,2.3291458012172734
1757,2023/24,9,2023-09-24,Zagłębie Lubin,Warta Poznań,1.0,0.0,9.0,8.0,2.0,2.0,hnsdB9vc,https://www.flashscore.pl/mecz/pilka-nozna/warta-poznan-CrVUWAl8/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=hnsdB9vc,0,imputed_constrained,,,1.1099250385217805,1.1310104279988624
1758,2023/24,9,2023-09-22,Korona Kielce,Widzew Łódź,1.0,1.0,14.0,8.0,5.0,2.0,Wxt0ATg3,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=Wxt0ATg3,0,imputed_constrained,,,1.4610348548645686,1.1677682918188808
