match_id,gospodarz,gosc,gole_gosp,gole_gosc,data_meczu,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,kolejka
2379,WID,WPŁ,1,1,2025-08-09,60.6,39.4,15.0,5.0,6.0,1.0,5.0,1.0,4.0,3.0,5.0,0.0,7.0,12.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,20.0,7.0,3.0,2.0,11.0,12.0,498.0,322.0,424.0,237.0,4
2380,WPŁ,LEG,1,0,2025-08-17,33.8,66.2,10.0,23.0,4.0,3.0,2.0,10.0,4.0,10.0,3.0,9.0,5.0,9.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,54.0,4.0,11.0,10.0,10.0,330.0,607.0,248.0,538.0,5
2381,BBT,RCZ,2,3,2025-08-17,46.8,53.2,10.0,17.0,3.0,10.0,6.0,1.0,1.0,6.0,6.0,2.0,17.0,14.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,6.0,9.0,14.0,9.0,352.0,415.0,273.0,357.0,5
2382,MOT,PIA,0,0,2025-08-16,41.0,59.0,8.0,17.0,1.0,4.0,2.0,3.0,5.0,10.0,7.0,6.0,17.0,16.0,4.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,20.0,27.0,5.0,9.0,7.0,7.0,313.0,460.0,257.0,409.0,5
2383,ZAG,LGD,6,2,2025-08-15,41.2,58.8,22.0,7.0,9.0,2.0,3.0,4.0,10.0,1.0,5.0,4.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,3.0,1.0,13.0,13.0,270.0,391.0,198.0,307.0,5
2384,RAD,JAG,1,2,2025-08-17,39.9,60.1,11.0,15.0,5.0,5.0,2.0,3.0,4.0,7.0,6.0,7.0,20.0,12.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,18.0,16.0,7.0,4.0,4.0,3.0,279.0,433.0,207.0,363.0,5
2385,POG,GÓR,0,3,2025-08-17,53.0,47.0,14.0,20.0,3.0,6.0,6.0,9.0,5.0,5.0,6.0,9.0,11.0,16.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,9.0,2.0,11.0,7.0,380.0,345.0,319.0,286.0,5
2386,CRA,WID,1,0,2025-08-15,43.6,56.4,8.0,14.0,2.0,4.0,2.0,5.0,4.0,5.0,7.0,8.0,16.0,11.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,29.0,4.0,4.0,9.0,11.0,262.0,335.0,190.0,252.0,5
2387,GKS,ARK,4,1,2025-08-16,42.0,58.0,24.0,12.0,10.0,3.0,7.0,4.0,7.0,5.0,8.0,5.0,19.0,12.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,26.0,18.0,8.0,6.0,11.0,5.0,263.0,381.0,200.0,311.0,5
2388,LPO,KOR,1,1,2025-08-16,65.4,34.6,18.0,16.0,8.0,2.0,5.0,2.0,5.0,12.0,6.0,0.0,12.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,19.0,5.0,5.0,7.0,11.0,502.0,258.0,420.0,194.0,5
2389,WPŁ,ZAG,2,1,2025-08-25,58.1,41.9,15.0,7.0,4.0,3.0,3.0,3.0,8.0,1.0,4.0,3.0,15.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,10.0,6.0,5.0,10.0,1.0,544.0,402.0,474.0,334.0,6
2390,LEG,JAG,0,0,2025-08-24,51.2,48.8,20.0,3.0,8.0,1.0,6.0,0.0,6.0,2.0,2.0,2.0,20.0,15.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,23.0,9.0,7.0,2.0,12.0,12.0,432.0,413.0,339.0,326.0,6
2391,LGD,ARK,1,0,2025-08-24,52.8,47.2,12.0,7.0,3.0,1.0,6.0,2.0,3.0,4.0,4.0,4.0,10.0,12.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,23.0,11.0,6.0,1.0,12.0,5.0,367.0,337.0,283.0,249.0,6
2392,GÓR,GKS,3,0,2025-08-23,51.4,48.6,18.0,10.0,6.0,1.0,4.0,3.0,8.0,6.0,2.0,4.0,9.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,12.0,6.0,2.0,10.0,6.0,450.0,430.0,392.0,358.0,6
2393,RAD,BBT,1,1,2025-08-22,62.5,37.5,17.0,13.0,4.0,2.0,7.0,1.0,6.0,10.0,2.0,5.0,12.0,11.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,23.0,16.0,2.0,2.0,16.0,7.0,471.0,281.0,401.0,208.0,6
2394,KOR,MOT,2,0,2025-08-23,32.2,67.8,17.0,13.0,8.0,2.0,4.0,5.0,5.0,6.0,5.0,6.0,15.0,14.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,6.0,34.0,4.0,9.0,4.0,14.0,255.0,520.0,195.0,458.0,6
2395,RCZ,LPO,2,2,2025-09-24,63.9,36.1,18.0,10.0,7.0,3.0,7.0,5.0,4.0,2.0,6.0,2.0,10.0,15.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,35.0,11.0,9.0,2.0,9.0,16.0,545.0,315.0,488.0,235.0,6
2396,PIA,CRA,0,0,2025-08-24,59.8,40.2,14.0,8.0,1.0,2.0,9.0,2.0,4.0,4.0,4.0,2.0,20.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,4.0,4.0,3.0,7.0,547.0,360.0,477.0,293.0,6
2397,WID,POG,1,2,2025-08-22,54.4,45.6,13.0,8.0,4.0,4.0,4.0,0.0,5.0,4.0,2.0,0.0,5.0,16.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,11.0,8.0,1.0,1.0,10.0,13.0,433.0,364.0,341.0,277.0,6
2398,ARK,WPŁ,1,0,2025-08-29,50.7,49.3,8.0,18.0,2.0,4.0,1.0,4.0,5.0,10.0,0.0,5.0,12.0,10.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,23.0,1.0,6.0,8.0,8.0,433.0,403.0,350.0,321.0,7
2399,BBT,KOR,1,3,2025-08-30,45.9,54.1,8.0,24.0,5.0,9.0,1.0,6.0,2.0,9.0,3.0,1.0,13.0,12.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,14.0,8.0,6.0,11.0,10.0,361.0,432.0,277.0,358.0,7
2400,ZAG,PIA,2,2,2025-08-30,30.2,69.8,11.0,15.0,2.0,5.0,3.0,8.0,6.0,2.0,3.0,5.0,15.0,9.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,13.0,20.0,5.0,2.0,11.0,9.0,253.0,592.0,189.0,507.0,7
2401,GÓR,MOT,0,1,2025-08-30,58.4,41.6,18.0,10.0,3.0,3.0,4.0,2.0,11.0,5.0,10.0,5.0,9.0,14.0,2.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,33.0,12.0,10.0,4.0,13.0,14.0,487.0,357.0,435.0,293.0,7
