flash_team,flash_name,expected_klub_slug,current_status,existing_player_slug,proposed_status,proposed_player_slug,evidence,candidate_count,top1_score,top1_relation,top1_clubs,top1_seasons,top1_path,top2_player_slug,top2_score,gap_top1_top2
Górnik Zabrze,Ennali L.,gornik-zabrze,unresolved,,auto_same_club_history,lawrence-ennali,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24,2023/24:gornik-zabrze,,,999.0
Górnik Zabrze,Janicki R.,gornik-zabrze,unresolved,,auto_same_club_history,rafa-janicki,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Janza E.,gornik-zabrze,unresolved,,auto_same_club_history,erik-janza,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Jensen R.,gornik-zabrze,unresolved,,auto_same_club_history,richard-jensen,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24,2023/24:gornik-zabrze,,,999.0
Górnik Zabrze,Kapralik A.,gornik-zabrze,unresolved,,auto_same_club_history,adrian-kapralik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24,2023/24:gornik-zabrze,,,999.0
Górnik Zabrze,Kolanko K.,gornik-zabrze,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Górnik Zabrze,Kozuki S.,gornik-zabrze,unresolved,,auto_same_club_history,soichiro-kozuki,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25,2023/24:gornik-zabrze | 2024/25:gornik-zabrze,,,999.0
Górnik Zabrze,Krawczyk P.,gornik-zabrze,unresolved,,auto_same_club_history,piotr-krawczyk,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze | wisla-plock,2023/24 | 2025/26,2023/24:gornik-zabrze | 2025/26:wisla-plock,,,999.0
Górnik Zabrze,Lukoszek K.,gornik-zabrze,unresolved,,auto_same_club_history,kamil-lukoszek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Musiolik S.,gornik-zabrze,unresolved,,auto_same_club_history,sebastian-musiolik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze | slask-wroclaw,2023/24 | 2024/25,2023/24:gornik-zabrze | 2024/25:slask-wroclaw,,,999.0
Górnik Zabrze,Nascimento F.,gornik-zabrze,unresolved,,auto_same_club_history,filipe-nascimento,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25,2023/24:gornik-zabrze | 2024/25:gornik-zabrze,,,999.0
Górnik Zabrze,Olkowski P.,gornik-zabrze,unresolved,,auto_same_club_history,pawe-mirosaw-olkowski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Pacheco D.,gornik-zabrze,unresolved,,auto_same_club_history,daniel-pacheco-lobato,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,105.0,same_club_target_season,gornik-zabrze | wisla-plock,2023/24 | 2025/26,2023/24:gornik-zabrze | 2025/26:wisla-plock,,,999.0
Górnik Zabrze,Paluszek A.,gornik-zabrze,unresolved,,auto_transfer_candidate,aleksander-paluszek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season,1,109.0,other_club_target_season,gks-katowice | slask-wroclaw,2023/24 | 2024/25 | 2025/26,2023/24:slask-wroclaw | 2024/25:slask-wroclaw | 2025/26:gks-katowice,,,999.0
Górnik Zabrze,Pochciol J.,gornik-zabrze,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Górnik Zabrze,Podolski L.,gornik-zabrze,unresolved,,auto_same_club_history,ukasz-jozef-podolski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | same_club_history | same_club_target_season,1,110.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Rasak D.,gornik-zabrze,unresolved,,auto_same_club_history,damian-rasak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice | gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gks-katowice,,,999.0
Górnik Zabrze,Sekulic B.,gornik-zabrze,unresolved,,auto_same_club_history,boris-sekulic,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24,2023/24:gornik-zabrze,,,999.0
Górnik Zabrze,Siplak M.,gornik-zabrze,unresolved,,auto_same_club_history,michal-siplak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze | puszcza-niepolomice,2023/24 | 2024/25,2023/24:gornik-zabrze | 2024/25:puszcza-niepolomice,,,999.0
Górnik Zabrze,Szala D.,gornik-zabrze,unresolved,,auto_same_club_history,dominik-jerzy-szala,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Szcześniak K.,gornik-zabrze,unresolved,,auto_same_club_history,kryspin-szczesniak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Szromnik M.,gornik-zabrze,unresolved,,auto_same_club_history,micha-szromnik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history,1,117.0,same_club_history,gornik-zabrze,2024/25,2024/25:gornik-zabrze,,,999.0
Górnik Zabrze,Tobolik A.,gornik-zabrze,unresolved,,auto_same_club_history,aleksander-tobolik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history,1,117.0,same_club_history,gornik-zabrze,2024/25,2024/25:gornik-zabrze,,,999.0
Górnik Zabrze,Triantafyllopoulos K.,gornik-zabrze,unresolved,,auto_same_club_history,konstantinos-triantafyllopoulos,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24,2023/24:gornik-zabrze,,,999.0
Górnik Zabrze,Wojtuszek N.,gornik-zabrze,unresolved,,auto_same_club_history,norbert-wojtuszek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze | jagiellonia-bialystok,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:jagiellonia-bialystok | 2025/26:jagiellonia-bialystok,,,999.0
Górnik Zabrze,Yokota D.,gornik-zabrze,unresolved,,auto_same_club_history,daisuke-yokota,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24,2023/24:gornik-zabrze,,,999.0
Górnik Zabrze,Zielonka N.,gornik-zabrze,unresolved,,auto_same_club_history,nikodem-zielonka,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history,1,117.0,same_club_history,gornik-zabrze,2024/25,2024/25:gornik-zabrze,,,999.0
