flash_team,klub_slug_expected,flash_name
Legia Warszawa,legia-warszawa,Szczepaniak M.
Legia Warszawa,legia-warszawa,Tobiasz K.
Legia Warszawa,legia-warszawa,Urbański W.
Legia Warszawa,legia-warszawa,Wszołek P.
Legia Warszawa,legia-warszawa,Ziółkowski J.
Legia Warszawa,legia-warszawa,Zyba Q.
Piast Gliwice,piast-gliwice,Ameyaw M.
Piast Gliwice,piast-gliwice,Bykowski M.
Piast Gliwice,piast-gliwice,Chrapek M.
Piast Gliwice,piast-gliwice,Czerwiński J.
Piast Gliwice,piast-gliwice,Dziczek P.
Piast Gliwice,piast-gliwice,Felix J.
Piast Gliwice,piast-gliwice,Gvilia V.
Piast Gliwice,piast-gliwice,Hateley T.
Piast Gliwice,piast-gliwice,Holubek J.
Piast Gliwice,piast-gliwice,Huk T.
Piast Gliwice,piast-gliwice,Karbowy F.
Piast Gliwice,piast-gliwice,Katranis A.
Piast Gliwice,piast-gliwice,Kirejczyk G.
Piast Gliwice,piast-gliwice,Kostadinov T.
Piast Gliwice,piast-gliwice,Krykun S.
Piast Gliwice,piast-gliwice,Kądzior D.
Piast Gliwice,piast-gliwice,Leśniak O.
Piast Gliwice,piast-gliwice,Liszewski P.
Piast Gliwice,piast-gliwice,Miguelito
Piast Gliwice,piast-gliwice,Mokwa T.
Piast Gliwice,piast-gliwice,Mosór A.
Piast Gliwice,piast-gliwice,Piasecki F.
Piast Gliwice,piast-gliwice,Plach F.
Piast Gliwice,piast-gliwice,Pyrka A.
Piast Gliwice,piast-gliwice,Szczepański M.
Piast Gliwice,piast-gliwice,Szymański K.
Piast Gliwice,piast-gliwice,Tomasiewicz G.
Piast Gliwice,piast-gliwice,Urbański P.
Piast Gliwice,piast-gliwice,Wilczek K.
Pogoń Szczecin,pogon-szczecin,Bichakhchyan V.
Pogoń Szczecin,pogon-szczecin,Cojocaru V.
Pogoń Szczecin,pogon-szczecin,Fornalczyk M.
Pogoń Szczecin,pogon-szczecin,Gamboa J.
Pogoń Szczecin,pogon-szczecin,Gorgon A.
Pogoń Szczecin,pogon-szczecin,Grosicki K.
Pogoń Szczecin,pogon-szczecin,Holewinski A.
Pogoń Szczecin,pogon-szczecin,Klebaniuk B.
Pogoń Szczecin,pogon-szczecin,Korczakowski O.
Pogoń Szczecin,pogon-szczecin,Koulouris E.
Pogoń Szczecin,pogon-szczecin,Koutris L.
Pogoń Szczecin,pogon-szczecin,Kowalczyk S.
Pogoń Szczecin,pogon-szczecin,Kurzawa R.
Pogoń Szczecin,pogon-szczecin,Leo Borges
Pogoń Szczecin,pogon-szczecin,Lisowski W.
Pogoń Szczecin,pogon-szczecin,Loncar D.
Pogoń Szczecin,pogon-szczecin,Malec M.
Pogoń Szczecin,pogon-szczecin,Paryzek P.
Pogoń Szczecin,pogon-szczecin,Przyborek A.
Pogoń Szczecin,pogon-szczecin,Rostami Y.
Pogoń Szczecin,pogon-szczecin,Smoliński K.
Pogoń Szczecin,pogon-szczecin,Stipica D.
Pogoń Szczecin,pogon-szczecin,Stolarski P.
Pogoń Szczecin,pogon-szczecin,Ulvestad F.
Pogoń Szczecin,pogon-szczecin,Wahlqvist L.
Pogoń Szczecin,pogon-szczecin,Wawrzynowicz S.
Pogoń Szczecin,pogon-szczecin,Wędrychowski M.
Pogoń Szczecin,pogon-szczecin,Zahovic L.
Pogoń Szczecin,pogon-szczecin,Zech B.
Pogoń Szczecin,pogon-szczecin,Łęgowski M.
Puszcza Niepołomice,puszcza-niepolomice,Bartosz J.
Puszcza Niepołomice,puszcza-niepolomice,Cholewiak M.
Puszcza Niepołomice,puszcza-niepolomice,Cichon K.
Puszcza Niepołomice,puszcza-niepolomice,Craciun A.
Puszcza Niepołomice,puszcza-niepolomice,Firlej M.
Puszcza Niepołomice,puszcza-niepolomice,Gil F.
Puszcza Niepołomice,puszcza-niepolomice,Hajda W.
Puszcza Niepołomice,puszcza-niepolomice,Kidric R.
Puszcza Niepołomice,puszcza-niepolomice,Klisiewicz L.
