match_id,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,flash_id,flash_url,strzaly_gosp_flash,strzaly_gosc_flash,celne_gosp_flash,celne_gosc_flash,xg_gosp_flash,xg_gosc_flash
1694,2,2023-07-28,Ruch Chorzów,ŁKS Łódź,2.0,0.0,14.0,17.0,5.0,2.0,QwdTPEhc,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=QwdTPEhc,12,17,5,2,,
1695,2,2023-07-29,Warta Poznań,Górnik Zabrze,2.0,0.0,12.0,12.0,3.0,1.0,Y3ayOhN9,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=Y3ayOhN9,12,12,4,1,,
1697,2,2023-07-29,Śląsk Wrocław,Zagłębie Lubin,1.0,2.0,21.0,7.0,6.0,5.0,GSltNCxG,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=GSltNCxG,21,7,6,5,,
1698,2,2023-07-30,Pogoń Szczecin,Widzew Łódź,2.0,1.0,25.0,10.0,9.0,2.0,nmcPQfwi,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=nmcPQfwi,25,10,9,2,,
1699,2,2023-07-30,Lech Poznań,Radomiak Radom,2.0,0.0,15.0,13.0,7.0,3.0,pS4jI2Zj,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=pS4jI2Zj,15,13,7,3,,
1701,2,2023-07-30,Stal Mielec,Piast Gliwice,0.0,0.0,8.0,24.0,2.0,3.0,K0eXOY73,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=K0eXOY73,8,25,2,3,,
1702,3,2023-08-04,Jagiellonia Białystok,Widzew Łódź,2.0,1.0,15.0,9.0,2.0,3.0,MRGD44Ml,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=MRGD44Ml,15,9,2,3,,
1703,3,2023-08-04,ŁKS Łódź,Korona Kielce,2.0,1.0,7.0,20.0,3.0,4.0,4njHOPDK,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/lks-lodz-ShUKWHDG/szczegoly/statystyki/?mid=4njHOPDK,7,20,3,4,,
1704,3,2023-08-05,Raków Częstochowa,Warta Poznań,2.0,2.0,15.0,13.0,7.0,5.0,nBeCP5bE,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=nBeCP5bE,16,14,7,5,,
1705,3,2023-08-05,Górnik Zabrze,Piast Gliwice,0.0,0.0,7.0,9.0,2.0,0.0,hhC95p7r,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=hhC95p7r,6,5,3,0,,
